,Tool,Asymptotic pseudo-auROC value
0,Dimont,0.701
1,ChIPMunk,0.762
2,ProBound,0.73
3,MEME,0.727
4,Autoseed,0.746
5,Homer,0.77
6,STREME,0.717
7,DimontHTS,0.741
8,ExplaiNN,0.678
9,RCade,0.845
10,Best,0.798
11,Dimont,0.71
12,ChIPMunk,0.782
13,ProBound,0.731
14,MEME,0.745
15,Autoseed,0.756
16,Homer,0.787
17,STREME,0.737
18,DimontHTS,0.759
19,ExplaiNN,0.677
20,RCade,0.824
21,Best,0.618
22,Dimont,0.737
23,ChIPMunk,0.787
24,ProBound,0.759
25,MEME,0.763
26,Autoseed,0.77
27,Homer,0.798
28,STREME,0.75
29,DimontHTS,0.772
30,ExplaiNN,0.684
31,RCade,0.828
32,Best,0.846
33,Dimont,0.709
34,ChIPMunk,0.76
35,ProBound,0.718
36,MEME,0.733
37,Autoseed,0.743
38,Homer,0.769
39,STREME,0.721
40,DimontHTS,0.736
41,ExplaiNN,0.675
42,RCade,0.808
43,Best,0.828
44,Dimont,0.465
45,ChIPMunk,0.538
46,ProBound,0.468
47,MEME,0.505
48,Autoseed,0.316
49,Homer,0.497
50,STREME,0.832
51,DimontHTS,0.499
52,ExplaiNN,0.616
53,RCade,0.798
54,Best,0.927
55,Dimont,0.471
56,ChIPMunk,0.539
57,ProBound,0.462
58,MEME,0.514
59,Autoseed,0.32
60,Homer,0.488
61,STREME,0.714
62,DimontHTS,0.504
63,ExplaiNN,0.618
64,RCade,0.807
65,Best,0.656
66,Dimont,0.846
67,ChIPMunk,0.832
68,ProBound,0.755
69,MEME,0.834
70,Autoseed,0.791
71,Homer,0.81
72,STREME,0.728
73,DimontHTS,0.629
74,ExplaiNN,0.707
75,RCade,0.794
76,Best,0.893
77,Dimont,0.806
78,ChIPMunk,0.784
79,ProBound,0.764
80,MEME,0.745
81,Autoseed,0.795
82,Homer,0.741
83,STREME,0.706
84,DimontHTS,0.641
85,ExplaiNN,0.737
86,RCade,0.558
87,Best,0.869
88,Dimont,0.804
89,ChIPMunk,0.788
90,ProBound,0.745
91,MEME,0.755
92,Autoseed,0.776
93,Homer,0.746
94,STREME,0.697
95,DimontHTS,0.624
96,ExplaiNN,0.731
97,RCade,0.893
98,Best,0.641
99,Dimont,0.79
100,ChIPMunk,0.767
101,ProBound,0.731
102,MEME,0.728
103,Autoseed,0.759
104,Homer,0.719
105,STREME,0.626
106,DimontHTS,0.621
107,ExplaiNN,0.717
108,RCade,0.699
109,Best,0.937
110,Dimont,0.767
111,ChIPMunk,0.759
112,ProBound,0.542
113,MEME,0.725
114,Autoseed,0.577
115,Homer,0.717
116,STREME,0.574
117,DimontHTS,0.673
118,ExplaiNN,0.708
119,RCade,0.803
120,Best,0.905
121,Dimont,0.919
122,ChIPMunk,0.868
123,ProBound,0.781
124,MEME,0.62
125,Autoseed,0.565
126,Homer,0.719
127,STREME,0.655
128,DimontHTS,0.849
129,ExplaiNN,0.85
130,RCade,0.755
131,Best,0.814
132,Dimont,0.927
133,ChIPMunk,0.895
134,ProBound,0.613
135,MEME,0.59
136,Autoseed,0.685
137,Homer,0.667
138,STREME,0.622
139,DimontHTS,0.627
140,ExplaiNN,0.902
141,RCade,0.536
142,Best,0.822
143,Dimont,0.598
144,ChIPMunk,0.652
145,ProBound,0.642
146,MEME,0.656
147,Autoseed,0.869
148,Homer,0.65
149,STREME,0.501
150,DimontHTS,0.589
151,ExplaiNN,0.638
152,RCade,0.852
153,Best,0.881
154,Dimont,0.558
155,ChIPMunk,0.637
156,ProBound,0.805
157,MEME,0.641
158,Autoseed,0.54
159,Homer,0.624
160,STREME,0.865
161,DimontHTS,0.912
162,ExplaiNN,0.629
163,RCade,0.584
164,Best,0.636
165,Dimont,0.532
166,ChIPMunk,0.546
167,ProBound,0.641
168,MEME,0.521
169,Autoseed,0.491
170,Homer,0.511
171,STREME,0.64
172,DimontHTS,0.851
173,ExplaiNN,0.566
174,RCade,0.732
175,Best,0.759
176,Dimont,0.85
177,ChIPMunk,0.829
178,ProBound,0.606
179,MEME,0.821
180,Autoseed,0.93
181,Homer,0.82
182,STREME,0.68
183,DimontHTS,0.758
184,ExplaiNN,0.879
185,RCade,0.748
186,Best,0.764
187,Dimont,0.658
188,ChIPMunk,0.65
189,ProBound,0.92
190,MEME,0.633
191,Autoseed,0.871
192,Homer,0.622
193,STREME,0.841
194,DimontHTS,0.773
195,ExplaiNN,0.681
196,RCade,0.858
197,Best,0.933
198,Dimont,0.665
199,ChIPMunk,0.692
200,ProBound,0.857
201,MEME,0.67
202,Autoseed,0.892
203,Homer,0.666
204,STREME,0.431
205,DimontHTS,0.658
206,ExplaiNN,0.696
207,RCade,0.714
208,Best,0.6
209,Dimont,0.851
210,ChIPMunk,0.868
211,ProBound,0.773
212,MEME,0.851
213,Autoseed,0.879
214,Homer,0.852
215,STREME,0.391
216,DimontHTS,0.585
217,ExplaiNN,0.865
218,RCade,0.72
219,Best,0.924
220,Dimont,0.614
221,ChIPMunk,0.6
222,ProBound,0.785
223,MEME,0.547
224,Autoseed,0.727
225,Homer,0.609
226,STREME,0.918
227,DimontHTS,0.676
228,ExplaiNN,0.601
229,RCade,0.805
230,Best,0.996
231,Dimont,0.571
232,ChIPMunk,0.562
233,ProBound,0.631
234,MEME,0.503
235,Autoseed,0.635
236,Homer,0.557
237,STREME,0.855
238,DimontHTS,0.802
239,ExplaiNN,0.608
240,RCade,0.77
241,Best,0.827
242,Dimont,0.924
243,ChIPMunk,0.937
244,ProBound,0.595
245,MEME,0.933
246,Autoseed,0.786
247,Homer,0.916
248,STREME,0.905
249,DimontHTS,0.598
250,ExplaiNN,0.867
251,RCade,0.389
252,Best,0.897
253,Dimont,0.86
254,ChIPMunk,0.874
255,ProBound,0.729
256,MEME,0.869
257,Autoseed,0.836
258,Homer,0.852
259,STREME,0.891
260,DimontHTS,0.636
261,ExplaiNN,0.817
262,RCade,0.37
263,Best,0.798
264,Dimont,0.903
265,ChIPMunk,0.904
266,ProBound,0.675
267,MEME,0.894
268,Autoseed,0.482
269,Homer,0.867
270,STREME,0.732
271,DimontHTS,0.657
272,ExplaiNN,0.874
273,RCade,0.353
274,Best,0.869
275,Dimont,0.892
276,ChIPMunk,0.891
277,ProBound,0.563
278,MEME,0.879
279,Autoseed,0.514
280,Homer,0.855
281,STREME,0.613
282,DimontHTS,0.582
283,ExplaiNN,0.857
284,RCade,0.851
285,Best,0.772
286,Dimont,0.739
287,ChIPMunk,0.814
288,ProBound,0.584
289,MEME,0.723
290,Autoseed,0.717
291,Homer,0.787
292,STREME,0.749
293,DimontHTS,0.627
294,ExplaiNN,0.757
295,RCade,0.844
296,Best,0.678
297,Dimont,0.645
298,ChIPMunk,0.767
299,ProBound,0.669
300,MEME,0.675
301,Autoseed,0.638
302,Homer,0.678
303,STREME,0.859
304,DimontHTS,0.597
305,ExplaiNN,0.702
306,RCade,0.813
307,Best,0.569
308,Dimont,0.798
309,ChIPMunk,0.822
310,ProBound,0.582
311,MEME,0.703
312,Autoseed,0.709
313,Homer,0.701
314,STREME,0.477
315,DimontHTS,0.933
316,ExplaiNN,0.765
317,RCade,0.808
318,Best,0.699
319,Dimont,0.881
320,ChIPMunk,0.855
321,ProBound,0.646
322,MEME,0.825
323,Autoseed,0.67
324,Homer,0.823
325,STREME,0.499
326,DimontHTS,0.889
327,ExplaiNN,0.856
328,RCade,0.987
329,Best,0.961
330,Dimont,0.475
331,ChIPMunk,0.545
332,ProBound,0.611
333,MEME,0.633
334,Autoseed,0.869
335,Homer,0.477
336,STREME,0.469
337,DimontHTS,0.894
338,ExplaiNN,0.571
339,RCade,0.955
340,Best,0.835
341,Dimont,0.486
342,ChIPMunk,0.559
343,ProBound,0.875
344,MEME,0.564
345,Autoseed,0.756
346,Homer,0.485
347,STREME,0.624
348,DimontHTS,0.923
349,ExplaiNN,0.578
350,RCade,0.934
351,Best,0.972
352,Dimont,0.524
353,ChIPMunk,0.593
354,ProBound,0.805
355,MEME,0.477
356,Autoseed,0.754
357,Homer,0.505
358,STREME,0.594
359,DimontHTS,0.912
360,ExplaiNN,0.508
361,RCade,0.933
362,Best,0.948
363,Dimont,0.718
364,ChIPMunk,0.742
365,ProBound,0.816
366,MEME,0.638
367,Autoseed,0.833
368,Homer,0.622
369,STREME,0.684
370,DimontHTS,0.54
371,ExplaiNN,0.652
372,RCade,0.895
373,Best,0.863
374,Dimont,0.748
375,ChIPMunk,0.759
376,ProBound,0.859
377,MEME,0.599
378,Autoseed,0.798
379,Homer,0.619
380,STREME,0.622
381,DimontHTS,0.574
382,ExplaiNN,0.647
383,RCade,0.777
384,Best,0.659
385,Dimont,0.716
386,ChIPMunk,0.764
387,ProBound,0.838
388,MEME,0.761
389,Autoseed,0.424
390,Homer,0.726
391,STREME,0.682
392,DimontHTS,0.54
393,ExplaiNN,0.656
394,RCade,0.772
395,Best,0.776
396,Dimont,0.645
397,ChIPMunk,0.705
398,ProBound,0.366
399,MEME,0.696
400,Autoseed,0.45
401,Homer,0.677
402,STREME,0.644
