,Tool,Asymptotic pseudo-auROC value
403,DimontHTS,0.742
404,ExplaiNN,0.6
405,RCade,0.78
406,Best,0.935
407,Dimont,0.703
408,ChIPMunk,0.762
409,ProBound,0.417
410,MEME,0.749
411,Autoseed,0.411
412,Homer,0.737
413,STREME,0.88
414,DimontHTS,0.758
415,ExplaiNN,0.641
416,RCade,0.809
417,Best,0.769
418,Dimont,0.668
419,ChIPMunk,0.731
420,ProBound,0.357
421,MEME,0.722
422,Autoseed,0.895
423,Homer,0.703
424,STREME,0.737
425,DimontHTS,0.707
426,ExplaiNN,0.615
427,RCade,0.522
428,Best,0.569
429,Dimont,0.92
430,ChIPMunk,0.9
431,ProBound,0.842
432,MEME,0.887
433,Autoseed,0.89
434,Homer,0.881
435,STREME,0.753
436,DimontHTS,0.72
437,ExplaiNN,0.892
438,RCade,0.661
439,Best,0.712
440,Dimont,0.799
441,ChIPMunk,0.815
442,ProBound,0.848
443,MEME,0.774
444,Autoseed,0.848
445,Homer,0.844
446,STREME,0.83
447,DimontHTS,0.983
448,ExplaiNN,0.85
449,RCade,0.545
450,Best,0.717
451,Dimont,0.803
452,ChIPMunk,0.837
453,ProBound,0.795
454,MEME,0.785
455,Autoseed,0.845
456,Homer,0.85
457,STREME,0.793
458,DimontHTS,0.969
459,ExplaiNN,0.867
460,RCade,0.526
461,Best,0.981
462,Dimont,0.879
463,ChIPMunk,0.878
464,ProBound,0.804
465,MEME,0.846
466,Autoseed,0.99
467,Homer,0.869
468,STREME,0.499
469,DimontHTS,0.942
470,ExplaiNN,0.88
471,RCade,0.908
472,Best,0.964
473,Dimont,0.844
474,ChIPMunk,0.856
475,ProBound,0.952
476,MEME,0.816
477,Autoseed,0.959
478,Homer,0.859
479,STREME,0.506
480,DimontHTS,0.945
481,ExplaiNN,0.879
482,RCade,0.861
483,Best,0.736
484,Dimont,0.535
485,ChIPMunk,0.497
486,ProBound,0.929
487,MEME,0.551
488,Autoseed,0.929
489,Homer,0.542
490,STREME,0.489
491,DimontHTS,0.569
492,ExplaiNN,0.6
493,RCade,0.753
494,Best,0.98
495,Dimont,0.566
496,ChIPMunk,0.508
497,ProBound,0.901
498,MEME,0.54
499,Autoseed,0.935
500,Homer,0.542
501,STREME,0.808
502,DimontHTS,0.747
503,ExplaiNN,0.542
504,RCade,0.93
505,Best,0.705
506,Dimont,0.532
507,ChIPMunk,0.489
508,ProBound,0.923
509,MEME,0.541
510,Autoseed,0.581
511,Homer,0.532
512,STREME,0.823
513,DimontHTS,0.544
514,ExplaiNN,0.598
515,RCade,0.77
516,Best,0.972
517,Dimont,0.924
518,ChIPMunk,0.919
519,ProBound,0.482
520,MEME,0.837
521,Autoseed,0.797
522,Homer,0.84
523,STREME,0.76
524,DimontHTS,0.44
525,ExplaiNN,0.875
526,RCade,0.797
527,Best,0.911
528,Dimont,0.922
529,ChIPMunk,0.918
530,ProBound,0.556
531,MEME,0.848
532,Autoseed,0.799
533,Homer,0.832
534,STREME,0.773
535,DimontHTS,0.702
536,ExplaiNN,0.864
537,RCade,0.835
538,Best,0.833
539,Dimont,0.881
540,ChIPMunk,0.878
541,ProBound,0.624
542,MEME,0.784
543,Autoseed,0.418
544,Homer,0.807
545,STREME,0.964
546,DimontHTS,0.665
547,ExplaiNN,0.842
548,RCade,0.79
549,Best,0.718
550,Dimont,0.884
551,ChIPMunk,0.888
552,ProBound,0.341
553,MEME,0.798
554,Autoseed,0.74
555,Homer,0.793
556,STREME,0.937
557,DimontHTS,0.713
558,ExplaiNN,0.829
559,RCade,0.907
560,Best,0.703
561,Dimont,0.993
562,ChIPMunk,0.996
563,ProBound,0.491
564,MEME,0.986
565,Autoseed,0.69
566,Homer,0.995
567,STREME,0.888
568,DimontHTS,0.73
569,ExplaiNN,0.991
570,RCade,0.942
571,Best,0.63
572,Dimont,0.969
573,ChIPMunk,0.963
574,ProBound,0.325
575,MEME,0.943
576,Autoseed,0.748
577,Homer,0.956
578,STREME,0.87
579,DimontHTS,0.498
580,ExplaiNN,0.956
581,RCade,0.875
582,Best,0.817
583,Dimont,0.936
584,ChIPMunk,0.934
585,ProBound,0.639
586,MEME,0.92
587,Autoseed,0.757
588,Homer,0.948
589,STREME,0.596
590,DimontHTS,0.568
591,ExplaiNN,0.931
592,RCade,0.876
593,Best,0.879
594,Dimont,0.947
595,ChIPMunk,0.944
596,ProBound,0.622
597,MEME,0.916
598,Autoseed,0.569
599,Homer,0.945
600,STREME,0.815
601,DimontHTS,0.522
602,ExplaiNN,0.928
603,RCade,0.913
604,Best,0.744
605,Dimont,0.581
606,ChIPMunk,0.595
607,ProBound,0.635
608,MEME,0.596
609,Autoseed,0.667
610,Homer,0.574
611,STREME,0.856
612,DimontHTS,0.515
613,ExplaiNN,0.533
614,RCade,0.884
615,Best,0.681
616,Dimont,0.817
617,ChIPMunk,0.827
618,ProBound,0.659
619,MEME,0.817
620,Autoseed,0.521
621,Homer,0.801
622,STREME,0.757
623,DimontHTS,0.516
624,ExplaiNN,0.689
625,RCade,0.893
626,Best,0.869
627,Dimont,0.89
628,ChIPMunk,0.897
629,ProBound,0.559
630,MEME,0.863
631,Autoseed,0.565
632,Homer,0.745
633,STREME,0.64
634,DimontHTS,0.519
635,ExplaiNN,0.696
636,RCade,0.839
637,Best,0.7
638,Dimont,0.721
639,ChIPMunk,0.778
640,ProBound,0.573
641,MEME,0.535
642,Autoseed,0.566
643,Homer,0.599
644,STREME,0.767
645,DimontHTS,0.894
646,ExplaiNN,0.759
647,RCade,0.914
648,Best,0.758
649,Dimont,0.663
650,ChIPMunk,0.662
651,ProBound,0.474
652,MEME,0.628
653,Autoseed,0.482
654,Homer,0.584
655,STREME,0.716
656,DimontHTS,0.837
657,ExplaiNN,0.644
658,RCade,0.878
659,Best,0.872
660,Dimont,0.719
661,ChIPMunk,0.798
662,ProBound,0.549
663,MEME,0.494
664,Autoseed,0.908
665,Homer,0.614
666,STREME,0.718
667,DimontHTS,0.735
668,ExplaiNN,0.766
669,RCade,0.832
670,Best,0.646
671,Dimont,0.816
672,ChIPMunk,0.822
673,ProBound,0.537
674,MEME,0.782
675,Autoseed,0.858
676,Homer,0.757
677,STREME,0.726
678,DimontHTS,0.919
679,ExplaiNN,0.736
680,RCade,0.651
681,Best,0.88
682,Dimont,0.809
683,ChIPMunk,0.821
684,ProBound,0.543
685,MEME,0.785
686,Autoseed,0.761
687,Homer,0.749
688,STREME,0.78
689,DimontHTS,0.669
690,ExplaiNN,0.718
691,RCade,0.92
692,Best,0.99
693,Dimont,0.821
694,ChIPMunk,0.832
695,ProBound,0.886
696,MEME,0.783
697,Autoseed,0.948
698,Homer,0.756
699,STREME,0.62
700,DimontHTS,0.681
701,ExplaiNN,0.751
702,RCade,0.7
703,Best,0.699
704,Dimont,0.869
705,ChIPMunk,0.868
706,ProBound,0.831
707,MEME,0.835
708,Autoseed,0.644
709,Homer,0.806
710,STREME,0.749
711,DimontHTS,0.706
712,ExplaiNN,0.766
713,RCade,0.856
714,Best,0.813
715,Dimont,0.574
716,ChIPMunk,0.625
717,ProBound,0.737
718,MEME,0.655
719,Autoseed,0.662
720,Homer,0.629
721,STREME,0.53
722,DimontHTS,0.662
723,ExplaiNN,0.606
724,RCade,0.635
725,Best,0.726
726,Dimont,0.703
727,ChIPMunk,0.75
728,ProBound,0.917
729,MEME,0.772
730,Autoseed,0.68
731,Homer,0.731
732,STREME,0.548
733,DimontHTS,0.89
734,ExplaiNN,0.731
735,RCade,0.641
736,Best,0.528
737,Dimont,0.504
738,ChIPMunk,0.678
739,ProBound,0.473
740,MEME,0.459
741,Autoseed,0.652
742,Homer,0.498
743,STREME,0.542
744,DimontHTS,0.724
745,ExplaiNN,0.515
746,RCade,0.583
747,Best,0.729
748,Dimont,0.559
749,ChIPMunk,0.569
750,ProBound,0.469
751,MEME,0.545
752,Autoseed,0.787
753,Homer,0.492
754,STREME,0.699
755,DimontHTS,0.792
756,ExplaiNN,0.542
757,RCade,0.518
758,Best,0.823
759,Dimont,0.559
760,ChIPMunk,0.551
761,ProBound,0.488
762,MEME,0.532
763,Autoseed,0.875
764,Homer,0.475
765,STREME,0.869
766,DimontHTS,0.72
767,ExplaiNN,0.532
768,RCade,0.532
769,Best,0.992
770,Dimont,0.411
771,ChIPMunk,0.366
772,ProBound,0.471
773,MEME,0.415
774,Autoseed,0.918
775,Homer,0.355
776,STREME,0.824
777,DimontHTS,0.718
778,ExplaiNN,0.473
779,RCade,0.517
780,Best,0.953
781,Dimont,0.929
782,ChIPMunk,0.906
783,ProBound,0.901
784,MEME,0.902
785,Autoseed,0.843
786,Homer,0.872
787,STREME,0.736
788,DimontHTS,0.748
789,ExplaiNN,0.859
790,RCade,0.508
791,Best,0.939
792,Dimont,0.874
793,ChIPMunk,0.857
794,ProBound,0.818
795,MEME,0.856
796,Autoseed,0.846
797,Homer,0.829
798,STREME,0.918
799,DimontHTS,0.729
800,ExplaiNN,0.827
801,RCade,0.518
802,Best,0.582
803,Dimont,0.786
804,ChIPMunk,0.759
805,ProBound,0.882
806,MEME,0.759
807,Autoseed,0.894
808,Homer,0.745
809,STREME,0.697
810,DimontHTS,0.724
811,ExplaiNN,0.734
812,RCade,0.719
813,Best,0.637
814,Dimont,0.961
815,ChIPMunk,0.949
816,ProBound,0.802
817,MEME,0.946
818,Autoseed,0.859
819,Homer,0.931
820,STREME,0.708
821,DimontHTS,0.675
822,ExplaiNN,0.912
823,RCade,0.716
824,Best,0.942
825,Dimont,0.704
826,ChIPMunk,0.752
827,ProBound,0.798
828,MEME,0.742
829,Autoseed,0.866
830,Homer,0.704
831,STREME,0.735
832,DimontHTS,0.737
833,ExplaiNN,0.573
834,RCade,0.681
835,Best,0.911
836,Dimont,0.735
837,ChIPMunk,0.778
838,ProBound,0.83
839,MEME,0.765
840,Autoseed,0.82
841,Homer,0.733
842,STREME,0.688
843,DimontHTS,0.707
844,ExplaiNN,0.577
845,RCade,0.681
846,Best,0.932
847,Dimont,0.788
848,ChIPMunk,0.818
849,ProBound,0.814
850,MEME,0.793
851,Autoseed,0.893
852,Homer,0.762
853,STREME,0.971
854,DimontHTS,0.738
855,ExplaiNN,0.588
856,RCade,0.654
857,Best,0.723
858,Dimont,0.707
859,ChIPMunk,0.761
860,ProBound,0.811
861,MEME,0.756
862,Autoseed,0.853
863,Homer,0.715
864,STREME,0.896
865,DimontHTS,0.479
866,ExplaiNN,0.561
867,RCade,0.703
868,Best,0.809
869,Dimont,0.816
870,ChIPMunk,0.951
871,ProBound,0.767
872,MEME,0.956
873,Autoseed,0.86
874,Homer,0.79
875,STREME,0.932
876,DimontHTS,0.491
877,ExplaiNN,0.932
878,RCade,0.458
879,Best,0.642
880,Dimont,0.896
881,ChIPMunk,0.897
882,ProBound,0.823
883,MEME,0.887
884,Autoseed,0.437
885,Homer,0.911
886,STREME,0.86
887,DimontHTS,0.496
888,ExplaiNN,0.896
889,RCade,0.453
890,Best,0.868
891,Dimont,0.936
892,ChIPMunk,0.935
893,ProBound,0.805
894,MEME,0.928
895,Autoseed,0.465
896,Homer,0.948
897,STREME,0.863
898,DimontHTS,0.496
899,ExplaiNN,0.938
900,RCade,0.842
901,Best,0.706
902,Dimont,0.863
903,ChIPMunk,0.864
904,ProBound,0.766
905,MEME,0.853
906,Autoseed,0.479
907,Homer,0.877
908,STREME,0.903
909,DimontHTS,0.747
910,ExplaiNN,0.87
911,RCade,0.686
912,Best,0.808
913,Dimont,0.865
914,ChIPMunk,0.865
915,ProBound,0.446
916,MEME,0.858
917,Autoseed,0.479
918,Homer,0.878
919,STREME,0.873
920,DimontHTS,0.766
921,ExplaiNN,0.868
922,RCade,0.781
923,Best,0.78
924,Dimont,0.911
925,ChIPMunk,0.908
926,ProBound,0.451
927,MEME,0.898
928,Autoseed,0.721
929,Homer,0.919
930,STREME,0.883
931,DimontHTS,0.773
932,ExplaiNN,0.909
933,RCade,0.709
934,Best,0.694
935,Dimont,0.881
936,ChIPMunk,0.877
937,ProBound,0.476
938,MEME,0.867
939,Autoseed,0.733
940,Homer,0.89
941,STREME,0.829
942,DimontHTS,0.752
943,ExplaiNN,0.877
944,RCade,0.652
945,Best,0.8
946,Dimont,0.887
947,ChIPMunk,0.887
948,ProBound,0.464
949,MEME,0.876
950,Autoseed,0.737
951,Homer,0.899
952,STREME,0.905
953,DimontHTS,0.752
954,ExplaiNN,0.886
955,RCade,0.864
956,Best,0.763
957,Dimont,0.835
958,ChIPMunk,0.836
959,ProBound,0.753
960,MEME,0.826
961,Autoseed,0.712
962,Homer,0.844
963,STREME,0.867
964,DimontHTS,0.713
965,ExplaiNN,0.835
966,RCade,0.906
967,Best,0.682
968,Dimont,0.91
969,ChIPMunk,0.91
970,ProBound,0.767
971,MEME,0.898
972,Autoseed,0.708
973,Homer,0.918
974,STREME,0.822
975,DimontHTS,0.692
976,ExplaiNN,0.906
977,RCade,0.89
978,Best,0.946
979,Dimont,0.869
980,ChIPMunk,0.874
981,ProBound,0.776
982,MEME,0.863
983,Autoseed,0.737
984,Homer,0.884
985,STREME,0.577
986,DimontHTS,0.714
987,ExplaiNN,0.872
988,RCade,0.912
989,Best,0.862
990,Dimont,0.85
991,ChIPMunk,0.863
992,ProBound,0.751
993,MEME,0.849
994,Autoseed,0.465
995,Homer,0.839
996,STREME,0.59
997,DimontHTS,0.471
998,ExplaiNN,0.686
999,RCade,0.906
1000,Best,0.63
1001,Dimont,0.444
1002,ChIPMunk,0.48
1003,ProBound,0.635
1004,MEME,0.621
1005,Autoseed,0.5
1006,Homer,0.445
1007,STREME,0.631
1008,DimontHTS,0.507
1009,ExplaiNN,0.476
1010,RCade,0.581
1011,Best,0.981
1012,Dimont,0.447
1013,ChIPMunk,0.489
1014,ProBound,0.605
1015,MEME,0.622
1016,Autoseed,0.669
1017,Homer,0.46
1018,STREME,0.607
1019,DimontHTS,0.679
1020,ExplaiNN,0.472
1021,RCade,0.553
1022,Best,0.723
1023,Dimont,0.461
1024,ChIPMunk,0.5
1025,ProBound,0.668
1026,MEME,0.659
1027,Autoseed,0.641
1028,Homer,0.455
1029,STREME,0.734
1030,DimontHTS,0.659
1031,ExplaiNN,0.474
1032,RCade,0.577
1033,Best,0.641
1034,Dimont,0.463
1035,ChIPMunk,0.501
1036,ProBound,0.704
1037,MEME,0.656
1038,Autoseed,0.678
1039,Homer,0.467
1040,STREME,0.742
1041,DimontHTS,0.602
1042,ExplaiNN,0.476
1043,RCade,0.476
1044,Best,0.669
1045,Dimont,0.734
1046,ChIPMunk,0.754
1047,ProBound,0.486
1048,MEME,0.74
1049,Autoseed,0.667
1050,Homer,0.725
1051,STREME,0.761
1052,DimontHTS,0.599
1053,ExplaiNN,0.747
1054,RCade,0.645
1055,Best,0.721
1056,Dimont,0.749
1057,ChIPMunk,0.752
1058,ProBound,0.527
1059,MEME,0.744
1060,Autoseed,0.793
1061,Homer,0.737
1062,STREME,0.745
1063,DimontHTS,0.777
1064,ExplaiNN,0.745
1065,RCade,0.659
1066,Best,0.745
1067,Dimont,0.759
1068,ChIPMunk,0.774
1069,ProBound,0.615
1070,MEME,0.756
1071,Autoseed,0.977
1072,Homer,0.752
1073,STREME,0.88
1074,DimontHTS,0.957
1075,ExplaiNN,0.762
1076,RCade,0.685
1077,Best,0.921
1078,Dimont,0.729
1079,ChIPMunk,0.755
1080,ProBound,0.604
1081,MEME,0.74
1082,Autoseed,0.921
1083,Homer,0.73
1084,STREME,0.854
1085,DimontHTS,0.921
1086,ExplaiNN,0.75
1087,RCade,0.608
1088,Best,0.772
1089,Dimont,0.831
1090,ChIPMunk,0.867
1091,ProBound,0.604
1092,MEME,0.904
1093,Autoseed,0.836
1094,Homer,0.794
1095,STREME,0.698
1096,DimontHTS,0.861
1097,ExplaiNN,0.835
1098,RCade,0.703
1099,Best,0.716
1100,Dimont,0.799
1101,ChIPMunk,0.844
1102,ProBound,0.598
1103,MEME,0.88
1104,Autoseed,0.652
1105,Homer,0.76
1106,STREME,0.725
1107,DimontHTS,0.636
1108,ExplaiNN,0.804
1109,RCade,0.991
1110,Best,0.634
1111,Dimont,0.712
1112,ChIPMunk,0.737
1113,ProBound,0.763
1114,MEME,0.734
1115,Autoseed,0.98
1116,Homer,0.688
1117,STREME,0.49
1118,DimontHTS,0.935
1119,ExplaiNN,0.689
1120,RCade,0.742
1121,Best,0.75
1122,Dimont,0.735
1123,ChIPMunk,0.769
1124,ProBound,0.969
1125,MEME,0.765
1126,Autoseed,0.832
1127,Homer,0.715
1128,STREME,0.526
1129,DimontHTS,0.835
1130,ExplaiNN,0.714
1131,RCade,0.855
1132,Best,0.953
1133,Dimont,0.539
1134,ChIPMunk,0.529
1135,ProBound,0.923
1136,MEME,0.487
1137,Autoseed,0.927
1138,Homer,0.494
1139,STREME,0.639
1140,DimontHTS,0.889
1141,ExplaiNN,0.504
1142,RCade,0.987
1143,Best,0.777
1144,Dimont,0.569
1145,ChIPMunk,0.555
1146,ProBound,0.863
1147,MEME,0.516
1148,Autoseed,0.714
1149,Homer,0.532
1150,STREME,0.614
1151,DimontHTS,0.752
1152,ExplaiNN,0.513
1153,RCade,0.727
1154,Best,0.767
1155,Dimont,0.694
1156,ChIPMunk,0.712
1157,ProBound,0.579
1158,MEME,0.629
1159,Autoseed,0.878
1160,Homer,0.694
1161,STREME,0.617
1162,DimontHTS,0.84
1163,ExplaiNN,0.692
1164,RCade,0.73
1165,Best,0.683
1166,Dimont,0.661
1167,ChIPMunk,0.673
1168,ProBound,0.972
1169,MEME,0.588
1170,Autoseed,0.876
1171,Homer,0.656
1172,STREME,0.61
1173,DimontHTS,0.736
1174,ExplaiNN,0.663
1175,RCade,0.937
1176,Best,0.816
1177,Dimont,0.624
1178,ChIPMunk,0.634
1179,ProBound,0.876
1180,MEME,0.602
1181,Autoseed,0.554
1182,Homer,0.717
1183,STREME,0.801
1184,DimontHTS,0.623
1185,ExplaiNN,0.551
1186,RCade,0.441
1187,Best,0.632
1188,Dimont,0.609
1189,ChIPMunk,0.619
1190,ProBound,0.946
1191,MEME,0.597
1192,Autoseed,0.686
1193,Homer,0.688
1194,STREME,0.978
1195,DimontHTS,0.698
1196,ExplaiNN,0.524
1197,RCade,0.44
1198,Best,0.705
1199,Dimont,0.826
1200,ChIPMunk,0.806
1201,ProBound,0.773
1202,MEME,0.801
1203,Autoseed,0.564
1204,Homer,0.761
1205,STREME,0.955
1206,DimontHTS,0.565
1207,ExplaiNN,0.749
1208,RCade,0.888
1209,Best,0.743
1210,Dimont,0.98
1211,ChIPMunk,0.981
1212,ProBound,0.57
1213,MEME,0.979
1214,Autoseed,0.572
1215,Homer,0.963
1216,STREME,0.891
1217,DimontHTS,0.664
