,Tool,auROC normalized value
449,MEME,0.938
450,Autoseed,0.878
451,Homer,0.95
452,STREME,0.946
453,DimontHTS,0.678
454,ExplaiNN,0.954
455,RCade,0.922
456,Dimont,0.966
457,ChIPMunk,0.954
458,ProBound,0.948
459,MEME,0.952
460,Autoseed,0.649
461,Homer,0.958
462,STREME,0.949
463,DimontHTS,0.593
464,ExplaiNN,0.956
465,RCade,0.912
466,Dimont,0.854
467,ChIPMunk,0.66
468,ProBound,0.866
469,MEME,0.757
470,Autoseed,0.681
471,Homer,0.618
472,STREME,0.82
473,DimontHTS,0.726
474,ExplaiNN,0.536
475,RCade,0.797
476,Dimont,0.55
477,ChIPMunk,0.453
478,ProBound,0.735
479,MEME,0.535
480,Autoseed,0.783
481,Homer,0.482
482,STREME,0.548
483,DimontHTS,0.796
484,ExplaiNN,0.446
485,RCade,0.539
486,Dimont,0.516
487,ChIPMunk,0.591
488,ProBound,0.528
489,MEME,0.492
490,Autoseed,0.886
491,Homer,0.612
492,STREME,0.543
493,DimontHTS,0.874
494,ExplaiNN,0.441
495,RCade,0.384
496,Dimont,0.705
497,ChIPMunk,0.729
498,ProBound,0.661
499,MEME,0.687
500,Autoseed,0.97
501,Homer,0.743
502,STREME,0.683
503,DimontHTS,0.865
504,ExplaiNN,0.561
505,RCade,0.617
506,Dimont,0.901
507,ChIPMunk,0.885
508,ProBound,0.888
509,MEME,0.888
510,Autoseed,0.892
511,Homer,0.867
512,STREME,0.889
513,DimontHTS,0.783
514,ExplaiNN,0.764
515,RCade,0.791
516,Dimont,0.966
517,ChIPMunk,0.954
518,ProBound,0.966
519,MEME,0.967
520,Autoseed,0.817
521,Homer,0.941
522,STREME,0.967
523,DimontHTS,0.349
524,ExplaiNN,0.836
525,RCade,0.851
526,Dimont,0.896
527,ChIPMunk,0.889
528,ProBound,0.884
529,MEME,0.904
530,Autoseed,0.448
531,Homer,0.893
532,STREME,0.889
533,DimontHTS,0.644
534,ExplaiNN,0.752
535,RCade,0.869
536,Dimont,0.752
537,ChIPMunk,0.753
538,ProBound,0.736
539,MEME,0.752
540,Autoseed,0.901
541,Homer,0.737
542,STREME,0.729
543,DimontHTS,0.62
544,ExplaiNN,0.708
545,RCade,0.73
546,Dimont,0.399
547,ChIPMunk,0.306
548,ProBound,0.715
549,MEME,0.33
550,Autoseed,0.773
551,Homer,0.429
552,STREME,0.432
553,DimontHTS,0.749
554,ExplaiNN,0.482
555,RCade,0.658
556,Dimont,0.704
557,ChIPMunk,0.706
558,ProBound,0.831
559,MEME,0.687
560,Autoseed,0.742
561,Homer,0.658
562,STREME,0.666
563,DimontHTS,0.757
564,ExplaiNN,0.763
565,RCade,0.332
566,Dimont,0.775
567,ChIPMunk,0.536
568,ProBound,0.494
569,MEME,0.486
570,Autoseed,0.47
571,Homer,0.625
572,STREME,0.465
573,DimontHTS,0.767
574,ExplaiNN,0.587
575,RCade,0.701
576,Dimont,0.79
577,ChIPMunk,0.757
578,ProBound,0.925
579,MEME,0.741
580,Autoseed,0.72
581,Homer,0.726
582,STREME,0.731
583,DimontHTS,0.55
584,ExplaiNN,0.763
585,RCade,0.651
586,Dimont,0.757
587,ChIPMunk,0.735
588,ProBound,0.743
589,MEME,0.758
590,Autoseed,0.56
591,Homer,0.687
592,STREME,0.728
593,ExplaiNN,0.692
594,RCade,0.615
595,Dimont,0.614
596,ChIPMunk,0.63
597,ProBound,0.783
598,MEME,0.672
599,Homer,0.642
600,STREME,0.391
601,ExplaiNN,0.457
602,RCade,0.36
603,Dimont,0.68
604,ChIPMunk,0.746
605,ProBound,0.77
606,MEME,0.433
607,Homer,0.616
608,STREME,0.666
609,ExplaiNN,0.627
610,Dimont,0.411
611,ChIPMunk,0.439
612,ProBound,0.742
613,Homer,0.357
614,STREME,0.363
615,ExplaiNN,0.406
