,Tool,auROC value
0,Dimont,0.767
1,ChIPMunk,0.764
2,ProBound,0.746
3,MEME,0.752
4,Autoseed,0.754
5,Homer,0.741
6,STREME,0.747
7,DimontHTS,0.723
8,ExplaiNN,0.749
9,RCade,0.851
10,Best,0.806
11,Dimont,0.754
12,ChIPMunk,0.756
13,ProBound,0.743
14,MEME,0.752
15,Autoseed,0.74
16,Homer,0.733
17,STREME,0.74
18,DimontHTS,0.713
19,ExplaiNN,0.735
20,RCade,0.83
21,Best,0.854
22,Dimont,0.803
23,ChIPMunk,0.789
24,ProBound,0.78
25,MEME,0.788
26,Autoseed,0.78
27,Homer,0.777
28,STREME,0.785
29,DimontHTS,0.753
30,ExplaiNN,0.789
31,RCade,0.822
32,Best,0.854
33,Dimont,0.806
34,ChIPMunk,0.799
35,ProBound,0.779
36,MEME,0.793
37,Autoseed,0.783
38,Homer,0.782
39,STREME,0.786
40,DimontHTS,0.757
41,ExplaiNN,0.792
42,RCade,0.833
43,Best,0.885
44,Dimont,0.836
45,ChIPMunk,0.735
46,ProBound,0.844
47,MEME,0.731
48,Autoseed,0.828
49,Homer,0.78
50,STREME,0.779
51,DimontHTS,0.824
52,ExplaiNN,0.76
53,RCade,0.83
54,Best,0.769
55,Dimont,0.843
56,ChIPMunk,0.744
57,ProBound,0.854
58,MEME,0.745
59,Autoseed,0.846
60,Homer,0.784
61,STREME,0.773
62,DimontHTS,0.838
63,ExplaiNN,0.768
64,RCade,0.763
65,Best,0.827
66,Dimont,0.854
67,ChIPMunk,0.833
68,ProBound,0.856
69,MEME,0.826
70,Autoseed,0.857
71,Homer,0.814
72,STREME,0.824
73,DimontHTS,0.712
74,ExplaiNN,0.708
75,RCade,0.705
76,Best,0.865
77,Dimont,0.885
78,ChIPMunk,0.861
79,ProBound,0.845
80,MEME,0.861
81,Autoseed,0.844
82,Homer,0.853
83,STREME,0.858
84,DimontHTS,0.693
85,ExplaiNN,0.814
86,RCade,0.705
87,Best,0.903
88,Dimont,0.879
89,ChIPMunk,0.851
90,ProBound,0.849
91,MEME,0.845
92,Autoseed,0.855
93,Homer,0.846
94,STREME,0.852
95,DimontHTS,0.716
96,ExplaiNN,0.8
97,RCade,0.865
98,Best,0.893
99,Dimont,0.863
100,ChIPMunk,0.849
101,ProBound,0.848
102,MEME,0.847
103,Autoseed,0.857
104,Homer,0.827
105,STREME,0.841
106,DimontHTS,0.728
107,ExplaiNN,0.809
108,RCade,0.796
109,Best,0.978
110,Dimont,0.864
111,ChIPMunk,0.846
112,ProBound,0.619
113,MEME,0.845
114,Autoseed,0.767
115,Homer,0.84
116,STREME,0.843
117,DimontHTS,0.738
118,ExplaiNN,0.811
119,RCade,0.764
120,Best,0.99
121,Dimont,0.769
122,ChIPMunk,0.754
123,ProBound,0.745
124,MEME,0.642
125,Autoseed,0.761
126,Homer,0.708
127,STREME,0.69
128,DimontHTS,0.851
129,ExplaiNN,0.719
130,RCade,0.722
131,Best,0.806
132,Dimont,0.732
133,ChIPMunk,0.721
134,ProBound,0.706
135,MEME,0.58
136,Autoseed,0.78
137,Homer,0.642
138,STREME,0.632
139,DimontHTS,0.879
140,ExplaiNN,0.705
141,RCade,0.681
142,Best,0.873
143,Dimont,0.827
144,ChIPMunk,0.81
145,ProBound,0.73
146,MEME,0.811
147,Autoseed,0.892
148,Homer,0.788
149,STREME,0.815
150,DimontHTS,0.884
151,ExplaiNN,0.788
152,RCade,0.92
153,Best,0.959
154,Dimont,0.814
155,ChIPMunk,0.775
156,ProBound,0.841
157,MEME,0.778
158,Autoseed,0.84
159,Homer,0.758
160,STREME,0.786
161,DimontHTS,0.84
162,ExplaiNN,0.777
163,RCade,0.681
164,Best,0.814
165,Dimont,0.773
166,ChIPMunk,0.711
167,ProBound,0.893
168,MEME,0.67
169,Autoseed,0.837
170,Homer,0.674
171,STREME,0.668
172,DimontHTS,0.834
173,ExplaiNN,0.68
174,RCade,0.718
175,Best,0.799
176,Dimont,0.824
177,ChIPMunk,0.795
178,ProBound,0.892
179,MEME,0.825
180,Autoseed,0.976
181,Homer,0.794
182,STREME,0.82
183,DimontHTS,0.914
184,ExplaiNN,0.853
185,RCade,0.749
186,Best,0.878
187,Dimont,0.768
188,ChIPMunk,0.766
189,ProBound,0.928
190,MEME,0.753
191,Autoseed,0.973
192,Homer,0.744
193,STREME,0.749
194,DimontHTS,0.897
195,ExplaiNN,0.772
196,RCade,0.931
197,Best,0.965
198,Dimont,0.801
199,ChIPMunk,0.779
200,ProBound,0.916
201,MEME,0.768
202,Autoseed,0.98
203,Homer,0.776
204,STREME,0.776
205,DimontHTS,0.771
206,ExplaiNN,0.77
207,RCade,0.935
208,Best,0.896
209,Dimont,0.903
210,ChIPMunk,0.896
