,Tool,auROC value
211,ProBound,0.918
212,MEME,0.882
213,Autoseed,0.953
214,Homer,0.888
215,STREME,0.879
216,DimontHTS,0.684
217,ExplaiNN,0.875
218,RCade,0.925
219,Best,0.979
220,Dimont,0.869
221,ChIPMunk,0.86
222,ProBound,0.905
223,MEME,0.832
224,Autoseed,0.793
225,Homer,0.855
226,STREME,0.824
227,DimontHTS,0.798
228,ExplaiNN,0.819
229,RCade,0.932
230,Best,0.994
231,Dimont,0.873
232,ChIPMunk,0.868
233,ProBound,0.689
234,MEME,0.837
235,Autoseed,0.679
236,Homer,0.849
237,STREME,0.82
238,DimontHTS,0.865
239,ExplaiNN,0.833
240,RCade,0.926
241,Best,0.853
242,Dimont,0.975
243,ChIPMunk,0.978
244,ProBound,0.62
245,MEME,0.978
246,Autoseed,0.84
247,Homer,0.975
248,STREME,0.977
249,DimontHTS,0.662
250,ExplaiNN,0.964
251,RCade,0.722
252,Best,0.917
253,Dimont,0.969
254,ChIPMunk,0.974
255,ProBound,0.831
256,MEME,0.973
257,Autoseed,0.898
258,Homer,0.971
259,STREME,0.972
260,DimontHTS,0.613
261,ExplaiNN,0.957
262,RCade,0.822
263,Best,0.896
264,Dimont,0.99
265,ChIPMunk,0.983
266,ProBound,0.687
267,MEME,0.983
268,Autoseed,0.629
269,Homer,0.983
270,STREME,0.983
271,DimontHTS,0.764
272,ExplaiNN,0.982
273,RCade,0.789
274,Best,0.94
275,Dimont,0.966
276,ChIPMunk,0.957
277,ProBound,0.799
278,MEME,0.947
279,Autoseed,0.649
280,Homer,0.938
281,STREME,0.949
282,DimontHTS,0.795
283,ExplaiNN,0.947
284,RCade,0.932
285,Best,0.823
286,Dimont,0.806
287,ChIPMunk,0.758
288,ProBound,0.767
289,MEME,0.753
290,Autoseed,0.771
291,Homer,0.782
292,STREME,0.769
293,DimontHTS,0.787
294,ExplaiNN,0.752
295,RCade,0.929
296,Best,0.702
297,Dimont,0.712
298,ChIPMunk,0.71
299,ProBound,0.794
300,MEME,0.686
301,Autoseed,0.812
302,Homer,0.679
303,STREME,0.668
304,DimontHTS,0.781
305,ExplaiNN,0.689
306,RCade,0.939
307,Best,0.774
308,Dimont,0.873
309,ChIPMunk,0.863
310,ProBound,0.83
311,MEME,0.815
312,Autoseed,0.854
313,Homer,0.832
314,STREME,0.817
315,DimontHTS,0.922
316,ExplaiNN,0.843
317,RCade,0.931
318,Best,0.713
319,Dimont,0.959
320,ChIPMunk,0.924
321,ProBound,0.845
322,MEME,0.913
323,Autoseed,0.837
324,Homer,0.919
325,STREME,0.929
326,DimontHTS,0.925
327,ExplaiNN,0.928
328,RCade,0.98
329,Best,0.956
330,Dimont,0.814
331,ChIPMunk,0.728
332,ProBound,0.831
333,MEME,0.719
334,Autoseed,0.897
335,Homer,0.725
336,STREME,0.747
337,DimontHTS,0.923
338,ExplaiNN,0.709
339,RCade,0.969
340,Best,0.87
341,Dimont,0.784
342,ChIPMunk,0.717
343,ProBound,0.9
344,MEME,0.632
345,Autoseed,0.907
346,Homer,0.678
347,STREME,0.706
348,DimontHTS,0.921
349,ExplaiNN,0.66
350,RCade,0.944
351,Best,0.987
352,Dimont,0.774
353,ChIPMunk,0.713
354,ProBound,0.906
355,MEME,0.682
356,Autoseed,0.896
357,Homer,0.688
358,STREME,0.682
359,DimontHTS,0.919
360,ExplaiNN,0.654
361,RCade,0.934
362,Best,0.985
363,Dimont,0.744
364,ChIPMunk,0.743
365,ProBound,0.905
366,MEME,0.701
367,Autoseed,0.901
368,Homer,0.699
369,STREME,0.703
370,DimontHTS,0.851
371,ExplaiNN,0.652
372,RCade,0.913
373,Best,0.95
374,Dimont,0.799
375,ChIPMunk,0.762
376,ProBound,0.901
377,MEME,0.707
378,Autoseed,0.893
379,Homer,0.706
380,STREME,0.706
381,DimontHTS,0.896
382,ExplaiNN,0.686
383,RCade,0.826
384,Best,0.881
385,Dimont,0.832
386,ChIPMunk,0.786
387,ProBound,0.9
388,MEME,0.783
389,Autoseed,0.689
390,Homer,0.746
391,STREME,0.773
392,DimontHTS,0.892
393,ExplaiNN,0.744
394,RCade,0.846
395,Best,0.989
396,Dimont,0.878
397,ChIPMunk,0.845
398,ProBound,0.783
399,MEME,0.837
400,Autoseed,0.607
401,Homer,0.807
402,STREME,0.816
403,DimontHTS,0.875
404,ExplaiNN,0.775
405,RCade,0.823
406,Best,0.945
407,Dimont,0.875
408,ChIPMunk,0.862
409,ProBound,0.8
410,MEME,0.856
411,Autoseed,0.634
412,Homer,0.815
413,STREME,0.848
414,DimontHTS,0.881
415,ExplaiNN,0.797
416,RCade,0.849
417,Best,0.833
418,Dimont,0.866
419,ChIPMunk,0.846
420,ProBound,0.806
421,MEME,0.841
422,Autoseed,0.96
423,Homer,0.797
424,STREME,0.83
425,DimontHTS,0.883
426,ExplaiNN,0.775
427,RCade,0.695
428,Best,0.891
429,Dimont,0.959
430,ChIPMunk,0.926
431,ProBound,0.942
432,MEME,0.934
433,Autoseed,0.958
434,Homer,0.885
435,STREME,0.922
436,DimontHTS,0.882
437,ExplaiNN,0.923
438,RCade,0.77
439,Best,0.825
440,Dimont,0.965
441,ChIPMunk,0.929
442,ProBound,0.935
443,MEME,0.936
444,Autoseed,0.961
445,Homer,0.886
446,STREME,0.926
447,DimontHTS,0.97
448,ExplaiNN,0.924
449,RCade,0.746
450,Best,0.822
451,Dimont,0.956
452,ChIPMunk,0.929
453,ProBound,0.941
454,MEME,0.93
455,Autoseed,0.96
456,Homer,0.891
457,STREME,0.922
458,DimontHTS,0.956
459,ExplaiNN,0.926
460,RCade,0.635
461,Best,0.997
462,Dimont,0.961
463,ChIPMunk,0.928
464,ProBound,0.941
465,MEME,0.934
466,Autoseed,0.98
467,Homer,0.888
468,STREME,0.928
469,DimontHTS,0.939
470,ExplaiNN,0.923
471,RCade,0.862
472,Best,0.961
473,Dimont,0.954
474,ChIPMunk,0.928
475,ProBound,0.96
476,MEME,0.929
477,Autoseed,0.967
478,Homer,0.888
479,STREME,0.921
480,DimontHTS,0.928
481,ExplaiNN,0.925
482,RCade,0.823
483,Best,0.732
484,Dimont,0.837
485,ChIPMunk,0.794
486,ProBound,0.932
487,MEME,0.807
488,Autoseed,0.943
489,Homer,0.813
490,STREME,0.781
491,DimontHTS,0.668
492,ExplaiNN,0.69
493,RCade,0.694
494,Best,0.987
495,Dimont,0.862
496,ChIPMunk,0.785
497,ProBound,0.915
498,MEME,0.856
499,Autoseed,0.942
500,Homer,0.819
501,STREME,0.83
502,DimontHTS,0.784
503,ExplaiNN,0.793
504,RCade,0.88
505,Best,0.786
506,Dimont,0.862
507,ChIPMunk,0.78
508,ProBound,0.926
509,MEME,0.849
510,Autoseed,0.688
511,Homer,0.824
512,STREME,0.822
513,DimontHTS,0.56
514,ExplaiNN,0.765
515,RCade,0.84
516,Best,0.977
517,Dimont,0.979
518,ChIPMunk,0.965
519,ProBound,0.693
520,MEME,0.941
521,Autoseed,0.819
522,Homer,0.924
523,STREME,0.941
524,DimontHTS,0.778
525,ExplaiNN,0.934
526,RCade,0.811
527,Best,0.705
528,Dimont,0.975
529,ChIPMunk,0.963
530,ProBound,0.722
531,MEME,0.941
532,Autoseed,0.803
533,Homer,0.907
534,STREME,0.934
535,DimontHTS,0.806
536,ExplaiNN,0.929
537,RCade,0.8
538,Best,0.921
539,Dimont,0.976
540,ChIPMunk,0.964
541,ProBound,0.462
542,MEME,0.944
543,Autoseed,0.843
544,Homer,0.925
545,STREME,0.939
546,DimontHTS,0.809
547,ExplaiNN,0.941
548,RCade,0.809
549,Best,0.851
550,Dimont,0.978
551,ChIPMunk,0.967
552,ProBound,0.822
553,MEME,0.945
554,Autoseed,0.881
555,Homer,0.92
556,STREME,0.94
557,DimontHTS,0.852
558,ExplaiNN,0.932
559,RCade,0.977
560,Best,0.785
561,Dimont,0.994
562,ChIPMunk,0.988
563,ProBound,0.863
564,MEME,0.983
565,Autoseed,0.878
566,Homer,0.985
567,STREME,0.986
568,DimontHTS,0.833
569,ExplaiNN,0.982
570,RCade,0.973
571,Best,0.81
572,Dimont,0.973
573,ChIPMunk,0.969
574,ProBound,0.862
575,MEME,0.961
576,Autoseed,0.862
577,Homer,0.959
578,STREME,0.953
579,DimontHTS,0.854
580,ExplaiNN,0.954
581,RCade,0.985
582,Best,0.91
583,Dimont,0.955
584,ChIPMunk,0.948
585,ProBound,0.838
586,MEME,0.921
587,Autoseed,0.836
588,Homer,0.949
589,STREME,0.924
590,DimontHTS,0.827
591,ExplaiNN,0.926
592,RCade,0.976
593,Best,0.858
594,Dimont,0.946
595,ChIPMunk,0.945
596,ProBound,0.836
597,MEME,0.929
598,Autoseed,0.865
599,Homer,0.946
600,STREME,0.89
601,DimontHTS,0.747
602,ExplaiNN,0.912
603,RCade,0.974
604,Best,0.917
605,Dimont,0.765
606,ChIPMunk,0.702
607,ProBound,0.831
608,MEME,0.707
609,Autoseed,0.834
610,Homer,0.7
611,STREME,0.704
612,DimontHTS,0.772
613,ExplaiNN,0.658
614,RCade,0.978
615,Best,0.919
616,Dimont,0.853
617,ChIPMunk,0.841
618,ProBound,0.832
619,MEME,0.823
620,Autoseed,0.698
621,Homer,0.819
622,STREME,0.832
623,DimontHTS,0.683
624,ExplaiNN,0.753
625,RCade,0.971
626,Best,0.97
627,Dimont,0.904
628,ChIPMunk,0.917
629,ProBound,0.741
630,MEME,0.886
631,Autoseed,0.767
632,Homer,0.799
633,STREME,0.874
634,DimontHTS,0.735
635,ExplaiNN,0.662
636,RCade,0.972
637,Best,0.709
638,Dimont,0.89
639,ChIPMunk,0.846
640,ProBound,0.722
641,MEME,0.862
642,Autoseed,0.592
643,Homer,0.871
644,STREME,0.846
645,DimontHTS,0.668
646,ExplaiNN,0.862
647,RCade,0.978
648,Best,0.917
649,Dimont,0.896
650,ChIPMunk,0.87
651,ProBound,0.629
652,MEME,0.877
653,Autoseed,0.737
654,Homer,0.875
655,STREME,0.861
656,DimontHTS,0.552
657,ExplaiNN,0.874
658,RCade,0.974
659,Best,0.996
660,Dimont,0.894
661,ChIPMunk,0.867
662,ProBound,0.735
663,MEME,0.873
664,Autoseed,0.654
665,Homer,0.88
666,STREME,0.863
667,DimontHTS,0.888
668,ExplaiNN,0.875
669,RCade,0.979
670,Best,0.735
671,Dimont,0.93
672,ChIPMunk,0.895
673,ProBound,0.673
674,MEME,0.873
675,Autoseed,0.664
676,Homer,0.848
677,STREME,0.865
678,DimontHTS,0.834
679,ExplaiNN,0.865
680,RCade,0.932
681,Best,0.983
682,Dimont,0.94
683,ChIPMunk,0.905
684,ProBound,0.61
685,MEME,0.897
686,Autoseed,0.903
687,Homer,0.864
688,STREME,0.89
689,DimontHTS,0.7
690,ExplaiNN,0.873
691,RCade,0.729
692,Best,0.994
693,Dimont,0.933
694,ChIPMunk,0.894
695,ProBound,0.871
696,MEME,0.873
697,Autoseed,0.857
698,Homer,0.848
699,STREME,0.859
700,DimontHTS,0.918
701,ExplaiNN,0.862
702,RCade,0.754
703,Best,0.838
704,Dimont,0.937
705,ChIPMunk,0.902
706,ProBound,0.82
707,MEME,0.892
708,Autoseed,0.729
709,Homer,0.861
710,STREME,0.885
711,DimontHTS,0.792
712,ExplaiNN,0.875
713,RCade,0.695
714,Best,0.808
715,Dimont,0.776
716,ChIPMunk,0.737
717,ProBound,0.697
718,MEME,0.741
719,Autoseed,0.934
720,Homer,0.744
721,STREME,0.743
722,DimontHTS,0.779
723,ExplaiNN,0.718
724,RCade,0.907
725,Best,0.821
726,Dimont,0.823
727,ChIPMunk,0.817
728,ProBound,0.897
729,MEME,0.813
730,Autoseed,0.756
731,Homer,0.797
732,STREME,0.808
733,DimontHTS,0.775
734,ExplaiNN,0.805
735,RCade,0.704
736,Best,0.739
737,Dimont,0.681
738,ChIPMunk,0.694
739,ProBound,0.621
740,MEME,0.7
741,Autoseed,0.725
742,Homer,0.702
743,STREME,0.687
744,DimontHTS,0.783
745,ExplaiNN,0.632
746,RCade,0.854
747,Best,0.85
748,Dimont,0.774
749,ChIPMunk,0.77
750,ProBound,0.587
751,MEME,0.75
752,Autoseed,0.696
753,Homer,0.748
754,STREME,0.766
755,DimontHTS,0.972
756,ExplaiNN,0.753
757,RCade,0.662
758,Best,0.949
759,Dimont,0.699
760,ChIPMunk,0.644
761,ProBound,0.576
762,MEME,0.649
763,Autoseed,0.7
764,Homer,0.648
765,STREME,0.666
766,DimontHTS,0.867
767,ExplaiNN,0.638
768,RCade,0.752
769,Best,0.992
770,Dimont,0.713
771,ChIPMunk,0.698
772,ProBound,0.566
773,MEME,0.626
774,Autoseed,0.973
775,Homer,0.66
776,STREME,0.629
777,DimontHTS,0.805
778,ExplaiNN,0.687
779,RCade,0.675
780,Best,0.925
781,Dimont,0.947
782,ChIPMunk,0.898
783,ProBound,0.979
784,MEME,0.905
785,Autoseed,0.97
786,Homer,0.89
787,STREME,0.909
788,DimontHTS,0.86
789,ExplaiNN,0.866
790,RCade,0.735
791,Best,0.994
792,Dimont,0.903
793,ChIPMunk,0.846
794,ProBound,0.935
795,MEME,0.849
796,Autoseed,0.979
797,Homer,0.827
798,STREME,0.845
799,DimontHTS,0.876
800,ExplaiNN,0.826
801,RCade,0.723
802,Best,0.876
803,Dimont,0.806
804,ChIPMunk,0.722
805,ProBound,0.943
806,MEME,0.727
807,Autoseed,0.967
808,Homer,0.726
809,STREME,0.717
810,DimontHTS,0.88
811,ExplaiNN,0.699
812,RCade,0.715
813,Best,0.88
814,Dimont,0.956
815,ChIPMunk,0.939
816,ProBound,0.934
817,MEME,0.937
818,Autoseed,0.968
819,Homer,0.922
820,STREME,0.938
821,DimontHTS,0.87
822,ExplaiNN,0.909
823,RCade,0.699
824,Best,0.976
825,Dimont,0.87
826,ChIPMunk,0.829
827,ProBound,0.932
828,MEME,0.836
829,Autoseed,0.977
830,Homer,0.799
831,STREME,0.82
832,DimontHTS,0.882
833,ExplaiNN,0.662
834,RCade,0.692
835,Best,0.955
836,Dimont,0.84
837,ChIPMunk,0.801
838,ProBound,0.942
839,MEME,0.799
840,Autoseed,0.965
841,Homer,0.757
842,STREME,0.777
843,DimontHTS,0.854
844,ExplaiNN,0.612
845,RCade,0.875
846,Best,0.947
847,Dimont,0.845
848,ChIPMunk,0.79
849,ProBound,0.934
850,MEME,0.775
851,Autoseed,0.971
852,Homer,0.72
853,STREME,0.748
854,DimontHTS,0.879
855,ExplaiNN,0.576
856,RCade,0.879
857,Best,0.8
858,Dimont,0.834
859,ChIPMunk,0.799
860,ProBound,0.94
861,MEME,0.792
862,Autoseed,0.973
863,Homer,0.722
864,STREME,0.762
865,DimontHTS,0.889
866,ExplaiNN,0.579
867,RCade,0.843
868,Best,0.849
869,Dimont,0.987
870,ChIPMunk,0.955
871,ProBound,0.933
872,MEME,0.954
873,Autoseed,0.975
874,Homer,0.953
875,STREME,0.926
876,DimontHTS,0.893
877,ExplaiNN,0.951
878,RCade,0.606
879,Best,0.939
880,Dimont,0.97
881,ChIPMunk,0.97
882,ProBound,0.939
883,MEME,0.965
884,Autoseed,0.978
885,Homer,0.976
886,STREME,0.966
887,DimontHTS,0.851
888,ExplaiNN,0.966
889,RCade,0.62
890,Best,0.901
891,Dimont,0.976
892,ChIPMunk,0.985
893,ProBound,0.951
894,MEME,0.982
895,Autoseed,0.937
896,Homer,0.984
897,STREME,0.977
898,DimontHTS,0.868
899,ExplaiNN,0.985
900,RCade,0.588
901,Best,0.905
902,Dimont,0.971
903,ChIPMunk,0.974
904,ProBound,0.878
905,MEME,0.969
906,Autoseed,0.828
907,Homer,0.979
908,STREME,0.97
909,DimontHTS,0.866
910,ExplaiNN,0.971
911,RCade,0.993
912,Best,0.914
913,Dimont,0.972
914,ChIPMunk,0.972
915,ProBound,0.864
916,MEME,0.967
917,Autoseed,0.852
918,Homer,0.977
919,STREME,0.967
920,DimontHTS,0.84
921,ExplaiNN,0.966
922,RCade,0.987
923,Best,0.925
924,Dimont,0.979
925,ChIPMunk,0.977
926,ProBound,0.881
927,MEME,0.973
928,Autoseed,0.846
929,Homer,0.98
930,STREME,0.973
931,DimontHTS,0.965
932,ExplaiNN,0.975
933,RCade,0.968
934,Best,0.786
935,Dimont,0.967
936,ChIPMunk,0.967
937,ProBound,0.878
938,MEME,0.963
939,Autoseed,0.824
940,Homer,0.975
941,STREME,0.964
942,DimontHTS,0.975
943,ExplaiNN,0.964
944,RCade,0.98
945,Best,0.806
946,Dimont,0.973
947,ChIPMunk,0.971
948,ProBound,0.853
949,MEME,0.968
950,Autoseed,0.946
951,Homer,0.976
952,STREME,0.967
953,DimontHTS,0.976
954,ExplaiNN,0.966
955,RCade,0.924
956,Best,0.904
957,Dimont,0.974
958,ChIPMunk,0.976
959,ProBound,0.983
960,MEME,0.972
961,Autoseed,0.963
962,Homer,0.979
963,STREME,0.972
964,DimontHTS,0.967
965,ExplaiNN,0.975
966,RCade,0.98
967,Best,0.832
968,Dimont,0.977
969,ChIPMunk,0.975
970,ProBound,0.988
971,MEME,0.972
972,Autoseed,0.965
973,Homer,0.976
974,STREME,0.97
975,DimontHTS,0.878
976,ExplaiNN,0.971
977,RCade,0.993
978,Best,0.973
979,Dimont,0.98
980,ChIPMunk,0.98
981,ProBound,0.989
982,MEME,0.977
983,Autoseed,0.948
984,Homer,0.981
985,STREME,0.975
986,DimontHTS,0.855
987,ExplaiNN,0.975
988,RCade,0.993
989,Best,0.97
990,Dimont,0.95
991,ChIPMunk,0.945
992,ProBound,0.985
993,MEME,0.938
994,Autoseed,0.768
995,Homer,0.896
996,STREME,0.913
997,DimontHTS,0.753
998,ExplaiNN,0.858
999,RCade,0.987
1000,Best,0.839
1001,Dimont,0.834
1002,ChIPMunk,0.758
1003,ProBound,0.827
1004,MEME,0.69
1005,Autoseed,0.818
1006,Homer,0.793
1007,STREME,0.745
1008,DimontHTS,0.792
1009,ExplaiNN,0.764
1010,RCade,0.98
1011,Best,0.988
1012,Dimont,0.846
1013,ChIPMunk,0.759
1014,ProBound,0.827
1015,MEME,0.736
1016,Autoseed,0.866
1017,Homer,0.826
1018,STREME,0.764
1019,DimontHTS,0.881
1020,ExplaiNN,0.78
1021,RCade,0.636
1022,Best,0.873
1023,Dimont,0.844
1024,ChIPMunk,0.762
1025,ProBound,0.746
1026,MEME,0.741
1027,Autoseed,0.852
1028,Homer,0.825
1029,STREME,0.762
1030,DimontHTS,0.869
1031,ExplaiNN,0.769
1032,RCade,0.634
1033,Best,0.693
1034,Dimont,0.824
1035,ChIPMunk,0.746
1036,ProBound,0.791
1037,MEME,0.711
1038,Autoseed,0.824
1039,Homer,0.795
1040,STREME,0.734
1041,DimontHTS,0.825
1042,ExplaiNN,0.752
1043,RCade,0.668
1044,Best,0.819
1045,Dimont,0.98
1046,ChIPMunk,0.942
1047,ProBound,0.891
1048,MEME,0.94
1049,Autoseed,0.824
1050,Homer,0.967
1051,STREME,0.938
1052,DimontHTS,0.824
1053,ExplaiNN,0.933
1054,RCade,0.646
1055,Best,0.899
1056,Dimont,0.984
1057,ChIPMunk,0.964
1058,ProBound,0.88
1059,MEME,0.964
1060,Autoseed,0.822
1061,Homer,0.98
1062,STREME,0.963
1063,DimontHTS,0.755
1064,ExplaiNN,0.96
1065,RCade,0.76
1066,Best,0.942
1067,Dimont,0.986
1068,ChIPMunk,0.964
1069,ProBound,0.824
1070,MEME,0.965
1071,Autoseed,0.812
1072,Homer,0.98
1073,STREME,0.961
1074,DimontHTS,0.741
1075,ExplaiNN,0.959
1076,RCade,0.842
1077,Best,0.917
1078,Dimont,0.98
1079,ChIPMunk,0.944
1080,ProBound,0.822
1081,MEME,0.941
1082,Autoseed,0.993
1083,Homer,0.967
1084,STREME,0.942
1085,DimontHTS,0.991
1086,ExplaiNN,0.934
1087,RCade,0.799
1088,Best,0.83
1089,Dimont,0.885
1090,ChIPMunk,0.921
1091,ProBound,0.741
1092,MEME,0.941
1093,Autoseed,0.989
1094,Homer,0.868
1095,STREME,0.945
1096,DimontHTS,0.987
1097,ExplaiNN,0.931
1098,RCade,0.779
1099,Best,0.899
1100,Dimont,0.865
1101,ChIPMunk,0.904
1102,ProBound,0.721
1103,MEME,0.925
1104,Autoseed,0.92
1105,Homer,0.84
1106,STREME,0.929
1107,DimontHTS,0.926
1108,ExplaiNN,0.91
1109,RCade,0.81
1110,Best,0.78
1111,Dimont,0.797
1112,ChIPMunk,0.745
1113,ProBound,0.992
1114,MEME,0.766
1115,Autoseed,0.828
1116,Homer,0.763
1117,STREME,0.763
1118,DimontHTS,0.859
1119,ExplaiNN,0.725
1120,RCade,0.989
1121,Best,0.937
1122,Dimont,0.833
1123,ChIPMunk,0.784
1124,ProBound,0.989
1125,MEME,0.801
1126,Autoseed,0.687
1127,Homer,0.808
1128,STREME,0.809
1129,DimontHTS,0.707
1130,ExplaiNN,0.779
1131,RCade,0.971
1132,Best,0.944
1133,Dimont,0.885
1134,ChIPMunk,0.847
1135,ProBound,0.917
1136,MEME,0.861
1137,Autoseed,0.979
1138,Homer,0.87
1139,STREME,0.844
1140,DimontHTS,0.936
1141,ExplaiNN,0.809
1142,RCade,0.962
1143,Best,0.877
1144,Dimont,0.884
1145,ChIPMunk,0.837
1146,ProBound,0.835
1147,MEME,0.849
1148,Autoseed,0.84
1149,Homer,0.861
1150,STREME,0.837
1151,DimontHTS,0.839
1152,ExplaiNN,0.792
1153,RCade,0.971
1154,Best,0.815
1155,Dimont,0.819
1156,ChIPMunk,0.815
1157,ProBound,0.707
1158,MEME,0.805
1159,Autoseed,0.93
1160,Homer,0.817
1161,STREME,0.8
1162,DimontHTS,0.906
1163,ExplaiNN,0.81
1164,RCade,0.966
1165,Best,0.942
1166,Dimont,0.82
1167,ChIPMunk,0.812
1168,ProBound,0.979
1169,MEME,0.798
1170,Autoseed,0.805
1171,Homer,0.803
1172,STREME,0.778
1173,DimontHTS,0.815
1174,ExplaiNN,0.805
1175,RCade,0.854
1176,Best,0.949
1177,Dimont,0.785
1178,ChIPMunk,0.752
1179,ProBound,0.872
1180,MEME,0.766
1181,Autoseed,0.966
1182,Homer,0.815
1183,STREME,0.766
1184,DimontHTS,0.961
1185,ExplaiNN,0.693
1186,RCade,0.994
1187,Best,0.877
1188,Dimont,0.767
1189,ChIPMunk,0.729
1190,ProBound,0.953
1191,MEME,0.741
1192,Autoseed,0.963
1193,Homer,0.796
1194,STREME,0.747
1195,DimontHTS,0.937
1196,ExplaiNN,0.687
1197,RCade,0.627
1198,Best,0.798
1199,Dimont,0.996
1200,ChIPMunk,0.997
1201,ProBound,0.844
1202,MEME,0.996
1203,Autoseed,0.754
1204,Homer,0.994
1205,STREME,0.997
1206,DimontHTS,0.914
1207,ExplaiNN,0.993
1208,RCade,0.567
1209,Best,0.795
1210,Dimont,0.991
1211,ChIPMunk,0.991
1212,ProBound,0.636
1213,MEME,0.98
1214,Autoseed,0.735
1215,Homer,0.99
1216,STREME,0.99
1217,DimontHTS,0.921
1218,ExplaiNN,0.984
1219,RCade,0.911
