,Tool,Delta auROC value
0,Dimont,-0.241
1,ChIPMunk,-0.23399999999999999
2,ProBound,-0.33699999999999997
3,MEME,-0.246
4,Autoseed,-0.244
5,Homer,-0.257
6,STREME,-0.251
7,DimontHTS,-0.275
8,ExplaiNN,-0.249
9,RCade,-0.29500000000000004
10,Best,-0.241
11,Dimont,-0.248
12,ChIPMunk,-0.242
13,ProBound,-0.348
14,MEME,-0.246
15,Autoseed,-0.258
16,Homer,-0.265
17,STREME,-0.258
18,DimontHTS,-0.28500000000000003
19,ExplaiNN,-0.263
20,RCade,-0.29800000000000004
21,Best,-0.16200000000000003
22,Dimont,-0.20699999999999996
23,ChIPMunk,-0.20899999999999996
24,ProBound,-0.31899999999999995
25,MEME,-0.20999999999999996
26,Autoseed,-0.21799999999999997
27,Homer,-0.22099999999999997
28,STREME,-0.21299999999999997
29,DimontHTS,-0.245
30,ExplaiNN,-0.20899999999999996
31,RCade,-0.30100000000000005
32,Best,-0.139
33,Dimont,-0.20399999999999996
34,ChIPMunk,-0.19899999999999995
35,ProBound,-0.31699999999999995
36,MEME,-0.20499999999999996
37,Autoseed,-0.21499999999999997
38,Homer,-0.21599999999999997
39,STREME,-0.21199999999999997
40,DimontHTS,-0.241
41,ExplaiNN,-0.20599999999999996
42,RCade,-0.28700000000000003
43,Best,-0.252
44,Dimont,-0.16200000000000003
45,ChIPMunk,-0.32599999999999996
46,ProBound,-0.15400000000000003
47,MEME,-0.32199999999999995
48,Autoseed,-0.17000000000000004
49,Homer,-0.21799999999999997
50,STREME,-0.21899999999999997
51,DimontHTS,-0.17400000000000004
52,ExplaiNN,-0.247
53,RCade,-0.08899999999999997
54,Best,-0.21199999999999997
55,Dimont,-0.15500000000000003
56,ChIPMunk,-0.30600000000000005
57,ProBound,-0.14400000000000002
58,MEME,-0.30100000000000005
59,Autoseed,-0.15200000000000002
60,Homer,-0.21399999999999997
61,STREME,-0.22499999999999998
62,DimontHTS,-0.16000000000000003
63,ExplaiNN,-0.22999999999999998
64,RCade,-0.10799999999999998
65,Best,-0.129
66,Dimont,-0.139
67,ChIPMunk,-0.137
68,ProBound,-0.14200000000000002
69,MEME,-0.137
70,Autoseed,-0.14100000000000001
71,Homer,-0.14500000000000002
72,STREME,-0.14
73,DimontHTS,-0.28600000000000003
74,ExplaiNN,-0.18400000000000005
75,RCade,-0.10699999999999998
76,Best,-0.02300000000000002
77,Dimont,-0.14500000000000002
78,ChIPMunk,-0.14700000000000002
79,ProBound,-0.15300000000000002
80,MEME,-0.15300000000000002
81,Autoseed,-0.15400000000000003
82,Homer,-0.15200000000000002
83,STREME,-0.14600000000000002
84,DimontHTS,-0.30500000000000005
85,ExplaiNN,-0.19799999999999995
86,RCade,-0.09899999999999998
87,Best,-0.031000000000000028
88,Dimont,-0.15000000000000002
89,ChIPMunk,-0.14900000000000002
90,ProBound,-0.14900000000000002
91,MEME,-0.15100000000000002
92,Autoseed,-0.14300000000000002
93,Homer,-0.17100000000000004
94,STREME,-0.15700000000000003
95,DimontHTS,-0.28200000000000003
96,ExplaiNN,-0.18899999999999995
97,RCade,-0.30300000000000005
98,Best,-0.19199999999999995
99,Dimont,-0.14700000000000002
100,ChIPMunk,-0.15200000000000002
101,ProBound,-0.15000000000000002
102,MEME,-0.15300000000000002
103,Autoseed,-0.14100000000000001
104,Homer,-0.15800000000000003
105,STREME,-0.15500000000000003
106,DimontHTS,-0.27
107,ExplaiNN,-0.18699999999999994
108,RCade,-0.22799999999999998
109,Best,-0.16000000000000003
110,Dimont,-0.252
111,ChIPMunk,-0.19899999999999995
112,ProBound,-0.33099999999999996
113,MEME,-0.266
114,Autoseed,-0.23099999999999998
115,Homer,-0.22999999999999998
116,STREME,-0.236
117,DimontHTS,-0.26
118,ExplaiNN,-0.20999999999999996
119,RCade,-0.08999999999999997
120,Best,-0.09299999999999997
121,Dimont,-0.261
122,ChIPMunk,-0.21299999999999997
123,ProBound,-0.242
124,MEME,-0.274
125,Autoseed,-0.237
126,Homer,-0.238
127,STREME,-0.239
128,DimontHTS,-0.14700000000000002
129,ExplaiNN,-0.22099999999999997
130,RCade,-0.07399999999999995
131,Best,-0.18400000000000005
132,Dimont,-0.21199999999999997
