,Tool,Delta auROC value
133,ChIPMunk,-0.22499999999999998
134,ProBound,-0.10499999999999998
135,MEME,-0.22999999999999998
136,Autoseed,-0.21799999999999997
137,Homer,-0.22199999999999998
138,STREME,-0.22199999999999998
139,DimontHTS,-0.119
140,ExplaiNN,-0.22799999999999998
141,RCade,-0.08899999999999997
142,Best,-0.20599999999999996
143,Dimont,-0.10999999999999999
144,ChIPMunk,-0.11299999999999999
145,ProBound,-0.10599999999999998
146,MEME,-0.11599999999999999
147,Autoseed,-0.10599999999999998
148,Homer,-0.10999999999999999
149,STREME,-0.11299999999999999
150,DimontHTS,-0.11399999999999999
151,ExplaiNN,-0.123
152,RCade,-0.08999999999999997
153,Best,-0.06999999999999995
154,Dimont,-0.129
155,ChIPMunk,-0.138
156,ProBound,-0.06999999999999995
157,MEME,-0.16600000000000004
158,Autoseed,-0.15800000000000003
159,Homer,-0.15400000000000003
160,STREME,-0.17800000000000005
161,DimontHTS,-0.15800000000000003
162,ExplaiNN,-0.18300000000000005
163,RCade,-0.06299999999999994
164,Best,-0.16100000000000003
165,Dimont,-0.125
166,ChIPMunk,-0.13
167,ProBound,-0.08199999999999996
168,MEME,-0.16100000000000003
169,Autoseed,-0.16100000000000003
170,Homer,-0.16300000000000003
171,STREME,-0.17600000000000005
172,DimontHTS,-0.16400000000000003
173,ExplaiNN,-0.18100000000000005
174,RCade,-0.09299999999999997
175,Best,-0.07899999999999996
176,Dimont,-0.02300000000000002
177,ChIPMunk,-0.026000000000000023
178,ProBound,-0.07999999999999996
179,MEME,-0.02100000000000002
180,Autoseed,-0.02200000000000002
181,Homer,-0.02300000000000002
182,STREME,-0.02100000000000002
183,DimontHTS,-0.08399999999999996
184,ExplaiNN,-0.06999999999999995
185,RCade,-0.09099999999999997
186,Best,-0.016000000000000014
187,Dimont,-0.029000000000000026
188,ChIPMunk,-0.03200000000000003
189,ProBound,-0.09299999999999997
190,MEME,-0.027000000000000024
191,Autoseed,-0.025000000000000022
192,Homer,-0.027000000000000024
193,STREME,-0.026000000000000023
194,DimontHTS,-0.10099999999999998
195,ExplaiNN,-0.06899999999999995
196,RCade,-0.07399999999999995
197,Best,-0.29300000000000004
198,Dimont,-0.031000000000000028
199,ChIPMunk,-0.07299999999999995
200,ProBound,-0.31000000000000005
201,MEME,-0.049000000000000044
202,Autoseed,-0.018000000000000016
203,Homer,-0.030000000000000027
204,STREME,-0.02200000000000002
205,DimontHTS,-0.22699999999999998
206,ExplaiNN,-0.04400000000000004
207,RCade,-0.07299999999999995
208,Best,-0.16500000000000004
209,Dimont,-0.05900000000000005
210,ChIPMunk,-0.08599999999999997
211,ProBound,-0.385
212,MEME,-0.10799999999999998
213,Autoseed,-0.04500000000000004
214,Homer,-0.05800000000000005
215,STREME,-0.061999999999999944
216,DimontHTS,-0.31399999999999995
217,ExplaiNN,-0.07199999999999995
218,RCade,-0.06000000000000005
219,Best,-0.14700000000000002
220,Dimont,-0.19199999999999995
221,ChIPMunk,-0.241
222,ProBound,-0.16700000000000004
223,MEME,-0.245
224,Autoseed,-0.20499999999999996
225,Homer,-0.22999999999999998
226,STREME,-0.22899999999999998
227,DimontHTS,-0.19999999999999996
228,ExplaiNN,-0.246
229,RCade,-0.263
230,Best,-0.15300000000000002
231,Dimont,-0.28600000000000003
232,ChIPMunk,-0.30700000000000005
233,ProBound,-0.49
234,MEME,-0.31199999999999994
235,Autoseed,-0.31899999999999995
236,Homer,-0.34099999999999997
237,STREME,-0.32999999999999996
238,DimontHTS,-0.133
239,ExplaiNN,-0.30900000000000005
240,RCade,-0.275
241,Best,-0.256
242,Dimont,-0.16000000000000003
243,ChIPMunk,-0.15700000000000003
244,ProBound,-0.19899999999999995
245,MEME,-0.18300000000000005
246,Autoseed,-0.15800000000000003
247,Homer,-0.16600000000000004
248,STREME,-0.18300000000000005
249,DimontHTS,-0.33599999999999997
250,ExplaiNN,-0.15500000000000003
251,RCade,-0.28300000000000003
252,Best,-0.31699999999999995
253,Dimont,-0.09299999999999997
254,ChIPMunk,-0.11599999999999999
255,ProBound,-0.23099999999999998
256,MEME,-0.46099999999999997
257,Autoseed,-0.09999999999999998
258,Homer,-0.30300000000000005
259,STREME,-0.29700000000000004
260,DimontHTS,-0.385
261,ExplaiNN,-0.33999999999999997
262,RCade,-0.29900000000000004
263,Best,-0.257
264,Dimont,-0.18400000000000005
265,ChIPMunk,-0.377
266,ProBound,-0.20399999999999996
267,MEME,-0.476
268,Autoseed,-0.22699999999999998
269,Homer,-0.36
270,STREME,-0.348
271,DimontHTS,-0.23399999999999999
272,ExplaiNN,-0.32899999999999996
273,RCade,-0.30600000000000005
274,Best,-0.28500000000000003
275,Dimont,-0.21399999999999997
276,ChIPMunk,-0.376
277,ProBound,-0.16800000000000004
278,MEME,-0.249
279,Autoseed,-0.18599999999999994
280,Homer,-0.29200000000000004
281,STREME,-0.22499999999999998
282,DimontHTS,-0.20299999999999996
283,ExplaiNN,-0.254
284,RCade,-0.0050000000000000044
285,Best,-0.10499999999999998
286,Dimont,-0.20599999999999996
287,ChIPMunk,-0.22999999999999998
288,ProBound,-0.15300000000000002
289,MEME,-0.22699999999999998
290,Autoseed,-0.14400000000000002
291,Homer,-0.262
292,STREME,-0.18200000000000005
293,DimontHTS,-0.21099999999999997
294,ExplaiNN,-0.22299999999999998
295,RCade,-0.01100000000000001
296,Best,-0.16700000000000004
297,Dimont,-0.16500000000000004
298,ChIPMunk,-0.18599999999999994
299,ProBound,-0.16700000000000004
300,MEME,-0.19499999999999995
301,Autoseed,-0.16100000000000003
302,Homer,-0.23199999999999998
303,STREME,-0.15000000000000002
304,DimontHTS,-0.21699999999999997
305,ExplaiNN,-0.20099999999999996
306,RCade,-0.238
307,Best,-0.014000000000000012
308,Dimont,-0.15800000000000003
309,ChIPMunk,-0.15400000000000003
310,ProBound,-0.15500000000000003
311,MEME,-0.20399999999999996
312,Autoseed,-0.10099999999999998
313,Homer,-0.249
314,STREME,-0.16800000000000004
315,DimontHTS,-0.07599999999999996
316,ExplaiNN,-0.22299999999999998
317,RCade,-0.15600000000000003
318,Best,-0.05400000000000005
319,Dimont,-0.17000000000000004
320,ChIPMunk,-0.17600000000000005
321,ProBound,-0.14700000000000002
322,MEME,-0.09499999999999997
323,Autoseed,-0.09099999999999997
324,Homer,-0.11299999999999999
325,STREME,-0.11299999999999999
326,DimontHTS,-0.07299999999999995
327,ExplaiNN,-0.07499999999999996
328,RCade,-0.19899999999999995
329,Best,-0.08999999999999997
330,Dimont,-0.06999999999999995
331,ChIPMunk,-0.08899999999999997
332,ProBound,-0.14900000000000002
333,MEME,-0.09499999999999997
334,Autoseed,-0.10199999999999998
335,Homer,-0.11199999999999999
336,STREME,-0.10799999999999998
337,DimontHTS,-0.07499999999999996
338,ExplaiNN,-0.07399999999999995
339,RCade,-0.21899999999999997
340,Best,-0.16400000000000003
341,Dimont,-0.06799999999999995
342,ChIPMunk,-0.08799999999999997
343,ProBound,-0.15300000000000002
344,MEME,-0.09099999999999997
345,Autoseed,-0.09699999999999998
346,Homer,-0.10699999999999998
347,STREME,-0.11299999999999999
348,DimontHTS,-0.07699999999999996
349,ExplaiNN,-0.07199999999999995
350,RCade,-0.18799999999999994
351,Best,-0.018000000000000016
352,Dimont,-0.06799999999999995
353,ChIPMunk,-0.08499999999999996
354,ProBound,-0.15200000000000002
355,MEME,-0.09599999999999997
356,Autoseed,-0.10499999999999998
357,Homer,-0.10999999999999999
358,STREME,-0.11099999999999999
359,DimontHTS,-0.07899999999999996
360,ExplaiNN,-0.07499999999999996
361,RCade,-0.42400000000000004
362,Best,-0.11299999999999999
363,Dimont,-0.07299999999999995
364,ChIPMunk,-0.08899999999999997
365,ProBound,-0.21499999999999997
366,MEME,-0.09299999999999997
367,Autoseed,-0.30900000000000005
368,Homer,-0.10999999999999999
369,STREME,-0.11099999999999999
370,DimontHTS,-0.14700000000000002
371,ExplaiNN,-0.07299999999999995
372,RCade,-0.32199999999999995
373,Best,-0.21799999999999997
374,Dimont,-0.06999999999999995
375,ChIPMunk,-0.08799999999999997
376,ProBound,-0.19799999999999995
377,MEME,-0.19099999999999995
378,Autoseed,-0.391
379,Homer,-0.18500000000000005
380,STREME,-0.21699999999999997
381,DimontHTS,-0.10199999999999998
382,ExplaiNN,-0.31399999999999995
383,RCade,-0.129
384,Best,-0.119
385,Dimont,-0.16100000000000003
386,ChIPMunk,-0.20399999999999996
387,ProBound,-0.19199999999999995
388,MEME,-0.14200000000000002
389,Autoseed,-0.364
390,Homer,-0.17900000000000005
391,STREME,-0.16800000000000004
392,DimontHTS,-0.10599999999999998
393,ExplaiNN,-0.367
394,RCade,-0.123
395,Best,-0.18400000000000005
396,Dimont,-0.136
397,ChIPMunk,-0.21299999999999997
398,ProBound,-0.18899999999999995
399,MEME,-0.14900000000000002
400,Autoseed,-0.038000000000000034
401,Homer,-0.17400000000000004
402,STREME,-0.17600000000000005
403,DimontHTS,-0.123
404,ExplaiNN,-0.35
405,RCade,-0.118
406,Best,-0.23099999999999998
407,Dimont,-0.136
408,ChIPMunk,-0.21799999999999997
409,ProBound,-0.18000000000000005
410,MEME,-0.05700000000000005
411,Autoseed,-0.040000000000000036
412,Homer,-0.07599999999999996
413,STREME,-0.05700000000000005
414,DimontHTS,-0.11699999999999999
415,ExplaiNN,-0.08199999999999996
416,RCade,-0.121
417,Best,-0.01100000000000001
418,Dimont,-0.07899999999999996
419,ChIPMunk,-0.051000000000000045
420,ProBound,-0.18599999999999994
421,MEME,-0.05700000000000005
422,Autoseed,-0.03700000000000003
423,Homer,-0.07799999999999996
424,STREME,-0.06399999999999995
425,DimontHTS,-0.11499999999999999
426,ExplaiNN,-0.07599999999999996
427,RCade,-0.263
428,Best,-0.05300000000000005
429,Dimont,-0.07999999999999996
430,ChIPMunk,-0.050000000000000044
431,ProBound,-0.18400000000000005
432,MEME,-0.05400000000000005
433,Autoseed,-0.038000000000000034
434,Homer,-0.07099999999999995
435,STREME,-0.05900000000000005
436,DimontHTS,-0.11599999999999999
437,ExplaiNN,-0.07299999999999995
438,RCade,-0.32499999999999996
439,Best,-0.30900000000000005
440,Dimont,-0.07499999999999996
441,ChIPMunk,-0.04700000000000004
442,ProBound,-0.038000000000000034
443,MEME,-0.05300000000000005
444,Autoseed,-0.018000000000000016
445,Homer,-0.07199999999999995
446,STREME,-0.05800000000000005
447,DimontHTS,-0.028000000000000025
448,ExplaiNN,-0.07199999999999995
449,RCade,-0.07499999999999996
450,Best,-0.03300000000000003
451,Dimont,-0.07599999999999996
452,ChIPMunk,-0.04700000000000004
453,ProBound,-0.06599999999999995
454,MEME,-0.015000000000000013
455,Autoseed,-0.031000000000000028
456,Homer,-0.013000000000000012
457,STREME,-0.01200000000000001
458,DimontHTS,-0.04200000000000004
459,ExplaiNN,-0.016000000000000014
460,RCade,-0.07599999999999996
461,Best,-0.02400000000000002
462,Dimont,-0.016000000000000014
463,ChIPMunk,-0.010000000000000009
464,ProBound,-0.08299999999999996
465,MEME,-0.03700000000000003
466,Autoseed,-0.05500000000000005
467,Homer,-0.039000000000000035
468,STREME,-0.04500000000000004
469,DimontHTS,-0.05900000000000005
470,ExplaiNN,-0.04400000000000004
471,RCade,-0.08499999999999996
472,Best,-0.09899999999999998
473,Dimont,-0.028000000000000025
474,ChIPMunk,-0.029000000000000026
475,ProBound,-0.07199999999999995
476,MEME,-0.07699999999999996
477,Autoseed,-0.05600000000000005
478,Homer,-0.049000000000000044
479,STREME,-0.07399999999999995
480,DimontHTS,-0.06999999999999995
481,ExplaiNN,-0.07199999999999995
482,RCade,-0.08499999999999996
483,Best,-0.17400000000000004
484,Dimont,-0.05300000000000005
485,ChIPMunk,-0.050000000000000044
486,ProBound,-0.361
487,MEME,-0.06899999999999995
488,Autoseed,-0.31000000000000005
489,Homer,-0.052000000000000046
490,STREME,-0.10799999999999998
491,DimontHTS,-0.32999999999999996
492,ExplaiNN,-0.08599999999999997
493,RCade,-0.09699999999999998
494,Best,-0.21499999999999997
495,Dimont,-0.06499999999999995
496,ChIPMunk,-0.05300000000000005
497,ProBound,-0.29800000000000004
498,MEME,-0.33999999999999997
499,Autoseed,-0.17900000000000005
500,Homer,-0.30600000000000005
501,STREME,-0.32399999999999995
502,DimontHTS,-0.21399999999999997
503,ExplaiNN,-0.33999999999999997
504,RCade,-0.09799999999999998
505,Best,-0.21899999999999997
506,Dimont,-0.29300000000000004
507,ChIPMunk,-0.32299999999999995
508,ProBound,-0.558
509,MEME,-0.23399999999999999
510,Autoseed,-0.19499999999999995
511,Homer,-0.30700000000000005
512,STREME,-0.19299999999999995
513,DimontHTS,-0.43799999999999994
514,ExplaiNN,-0.245
515,RCade,-0.08399999999999996
516,Best,-0.118
517,Dimont,-0.21999999999999997
518,ChIPMunk,-0.20899999999999996
519,ProBound,-0.17600000000000005
520,MEME,-0.17100000000000004
521,Autoseed,-0.15500000000000003
522,Homer,-0.127
523,STREME,-0.15900000000000003
524,DimontHTS,-0.21999999999999997
525,ExplaiNN,-0.367
526,RCade,-0.07499999999999996
527,Best,-0.278
528,Dimont,-0.16500000000000004
529,ChIPMunk,-0.20699999999999996
530,ProBound,-0.135
531,MEME,-0.14
532,Autoseed,-0.11699999999999999
533,Homer,-0.123
534,STREME,-0.126
535,DimontHTS,-0.19199999999999995
536,ExplaiNN,-0.15200000000000002
537,RCade,-0.07999999999999996
538,Best,-0.126
539,Dimont,-0.14700000000000002
540,ChIPMunk,-0.15600000000000003
541,ProBound,-0.136
542,MEME,-0.131
543,Autoseed,-0.12
544,Homer,-0.118
545,STREME,-0.12
546,DimontHTS,-0.18899999999999995
547,ExplaiNN,-0.128
548,RCade,-0.10699999999999998
549,Best,-0.127
550,Dimont,-0.128
551,ChIPMunk,-0.11699999999999999
552,ProBound,-0.18999999999999995
553,MEME,-0.17900000000000005
554,Autoseed,-0.136
555,Homer,-0.15500000000000003
556,STREME,-0.133
557,DimontHTS,-0.14600000000000002
558,ExplaiNN,-0.129
559,RCade,-0.14600000000000002
560,Best,-0.04800000000000004
561,Dimont,-0.118
562,ChIPMunk,-0.122
563,ProBound,-0.18599999999999994
564,MEME,-0.20699999999999996
565,Autoseed,-0.16200000000000003
566,Homer,-0.16300000000000003
567,STREME,-0.10799999999999998
568,DimontHTS,-0.16500000000000004
569,ExplaiNN,-0.17200000000000004
570,RCade,-0.09299999999999997
571,Best,-0.119
572,Dimont,-0.15300000000000002
573,ChIPMunk,-0.17000000000000004
574,ProBound,-0.18799999999999994
575,MEME,-0.17600000000000005
576,Autoseed,-0.133
577,Homer,-0.15600000000000003
578,STREME,-0.139
579,DimontHTS,-0.14400000000000002
580,ExplaiNN,-0.20099999999999996
581,RCade,-0.07499999999999996
582,Best,-0.008000000000000007
583,Dimont,-0.18100000000000005
584,ChIPMunk,-0.19999999999999996
585,ProBound,-0.19399999999999995
586,MEME,-0.20799999999999996
587,Autoseed,-0.16400000000000003
588,Homer,-0.16900000000000004
589,STREME,-0.11299999999999999
590,DimontHTS,-0.17100000000000004
591,ExplaiNN,-0.17000000000000004
592,RCade,-0.20899999999999996
593,Best,-0.31999999999999995
594,Dimont,-0.14900000000000002
595,ChIPMunk,-0.16700000000000004
596,ProBound,-0.258
597,MEME,-0.29800000000000004
598,Autoseed,-0.30000000000000004
599,Homer,-0.29100000000000004
600,STREME,-0.29200000000000004
601,DimontHTS,-0.251
602,ExplaiNN,-0.20899999999999996
603,RCade,-0.17900000000000005
604,Best,-0.0040000000000000036
605,Dimont,-0.18599999999999994
606,ChIPMunk,-0.20799999999999996
607,ProBound,-0.236
608,MEME,-0.21899999999999997
609,Autoseed,-0.23099999999999998
610,Homer,-0.21399999999999997
611,STREME,-0.22099999999999997
612,DimontHTS,-0.22599999999999998
613,ExplaiNN,-0.28
614,RCade,-0.18799999999999994
615,Best,-0.22799999999999998
616,Dimont,-0.256
617,ChIPMunk,-0.29500000000000004
618,ProBound,-0.369
619,MEME,-0.29800000000000004
620,Autoseed,-0.406
621,Homer,-0.29600000000000004
622,STREME,-0.33299999999999996
623,DimontHTS,-0.31499999999999995
624,ExplaiNN,-0.19299999999999995
625,RCade,-0.344
626,Best,-0.364
627,Dimont,-0.20699999999999996
628,ChIPMunk,-0.21599999999999997
629,ProBound,-0.266
630,MEME,-0.266
631,Autoseed,-0.261
632,Homer,-0.257
633,STREME,-0.255
634,DimontHTS,-0.263
635,ExplaiNN,-0.373
636,RCade,-0.10699999999999998
637,Best,-0.267
638,Dimont,-0.31699999999999995
639,ChIPMunk,-0.30600000000000005
640,ProBound,-0.349
641,MEME,-0.356
642,Autoseed,-0.344
643,Homer,-0.345
644,STREME,-0.36
645,DimontHTS,-0.32999999999999996
646,ExplaiNN,-0.277
647,RCade,-0.28800000000000003
648,Best,-0.21399999999999997
649,Dimont,-0.257
650,ChIPMunk,-0.254
651,ProBound,-0.388
652,MEME,-0.372
653,Autoseed,-0.33399999999999996
654,Homer,-0.33799999999999997
655,STREME,-0.373
656,DimontHTS,-0.44599999999999995
657,ExplaiNN,-0.356
658,RCade,-0.29100000000000004
659,Best,-0.049000000000000044
660,Dimont,-0.33999999999999997
661,ChIPMunk,-0.34099999999999997
662,ProBound,-0.127
663,MEME,-0.09299999999999997
664,Autoseed,-0.09499999999999997
665,Homer,-0.10799999999999998
666,STREME,-0.08899999999999997
667,DimontHTS,-0.10999999999999999
668,ExplaiNN,-0.31099999999999994
669,RCade,-0.29700000000000004
670,Best,-0.01100000000000001
671,Dimont,-0.28500000000000003
672,ChIPMunk,-0.30000000000000004
673,ProBound,-0.17800000000000005
674,MEME,-0.14900000000000002
675,Autoseed,-0.14100000000000001
676,Homer,-0.17100000000000004
677,STREME,-0.15300000000000002
678,DimontHTS,-0.16400000000000003
679,ExplaiNN,-0.132
680,RCade,-0.28500000000000003
681,Best,-0.07299999999999995
682,Dimont,-0.10499999999999998
683,ChIPMunk,-0.09999999999999998
684,ProBound,-0.30100000000000005
685,MEME,-0.271
686,Autoseed,-0.269
687,Homer,-0.272
688,STREME,-0.281
689,DimontHTS,-0.29800000000000004
690,ExplaiNN,-0.17200000000000004
691,RCade,-0.246
692,Best,-0.16700000000000004
693,Dimont,-0.16200000000000003
694,ChIPMunk,-0.15200000000000002
695,ProBound,-0.10099999999999998
696,MEME,-0.06099999999999994
697,Autoseed,-0.06399999999999995
698,Homer,-0.07599999999999996
699,STREME,-0.06000000000000005
700,DimontHTS,-0.07999999999999996
701,ExplaiNN,-0.29900000000000004
702,Best,-0.44299999999999995
703,Dimont,-0.28800000000000003
704,ChIPMunk,-0.276
705,ProBound,-0.45999999999999996
706,MEME,-0.19999999999999996
707,Autoseed,-0.242
708,Homer,-0.19899999999999995
709,STREME,-0.17800000000000005
710,DimontHTS,-0.20599999999999996
711,ExplaiNN,-0.08899999999999997
712,Best,-0.049000000000000044
713,Dimont,-0.07899999999999996
714,ChIPMunk,-0.05900000000000005
715,ProBound,-0.485
716,MEME,-0.23099999999999998
717,Autoseed,-0.273
718,Homer,-0.241
719,STREME,-0.22099999999999997
720,DimontHTS,-0.21899999999999997
721,ExplaiNN,-0.33699999999999997
722,Best,-0.06499999999999995
723,Dimont,-0.16700000000000004
724,ChIPMunk,-0.18599999999999994
725,ProBound,-0.53
726,MEME,-0.264
727,Autoseed,-0.30200000000000005
728,Homer,-0.278
729,STREME,-0.25
730,DimontHTS,-0.22299999999999998
731,ExplaiNN,-0.377
732,Best,-0.21299999999999997
733,Dimont,-0.21499999999999997
734,ChIPMunk,-0.235
735,ProBound,-0.5409999999999999
736,MEME,-0.252
737,Autoseed,-0.29800000000000004
738,Homer,-0.276
739,STREME,-0.236
740,DimontHTS,-0.21499999999999997
741,ExplaiNN,-0.43799999999999994
742,Best,-0.06699999999999995
743,Dimont,-0.239
744,ChIPMunk,-0.266
745,ProBound,-0.019000000000000017
746,MEME,-0.049000000000000044
747,Autoseed,-0.025000000000000022
748,Homer,-0.06000000000000005
749,STREME,-0.052000000000000046
750,DimontHTS,-0.026000000000000023
751,ExplaiNN,-0.42600000000000005
752,Best,-0.124
753,Dimont,-0.23199999999999998
754,ChIPMunk,-0.264
755,ProBound,-0.06299999999999994
756,MEME,-0.038000000000000034
757,Autoseed,-0.028000000000000025
758,Homer,-0.049000000000000044
759,STREME,-0.041000000000000036
760,DimontHTS,-0.131
761,ExplaiNN,-0.05500000000000005
762,Best,-0.10399999999999998
763,Dimont,-0.014000000000000012
764,ChIPMunk,-0.04300000000000004
765,ProBound,-0.05500000000000005
766,MEME,-0.052000000000000046
767,Autoseed,-0.019000000000000017
768,Homer,-0.06299999999999994
769,STREME,-0.05400000000000005
770,DimontHTS,-0.19299999999999995
771,ExplaiNN,-0.05400000000000005
772,Best,-0.09799999999999998
773,Dimont,-0.05400000000000005
774,ChIPMunk,-0.04400000000000004
775,ProBound,-0.06399999999999995
776,MEME,-0.049000000000000044
777,Autoseed,-0.031000000000000028
778,Homer,-0.06000000000000005
779,STREME,-0.051000000000000045
780,DimontHTS,-0.138
781,ExplaiNN,-0.029000000000000026
782,Best,-0.251
783,Dimont,-0.07399999999999995
784,ChIPMunk,-0.04200000000000004
785,ProBound,-0.06599999999999995
786,MEME,-0.03300000000000003
787,Autoseed,-0.030000000000000027
788,Homer,-0.04200000000000004
789,STREME,-0.03500000000000003
790,DimontHTS,-0.122
791,ExplaiNN,-0.04800000000000004
792,Best,-0.30900000000000005
793,Dimont,-0.05900000000000005
794,ChIPMunk,-0.04700000000000004
795,ProBound,-0.05600000000000005
796,MEME,-0.05400000000000005
797,Autoseed,-0.02100000000000002
798,Homer,-0.06599999999999995
799,STREME,-0.05400000000000005
800,DimontHTS,-0.118
801,ExplaiNN,-0.05300000000000005
802,Best,-0.134
803,Dimont,-0.050000000000000044
804,ChIPMunk,-0.04500000000000004
805,ProBound,-0.06399999999999995
806,MEME,-0.04600000000000004
807,Autoseed,-0.03300000000000003
808,Homer,-0.05700000000000005
809,STREME,-0.049000000000000044
810,DimontHTS,-0.128
811,ExplaiNN,-0.041000000000000036
812,Best,-0.18100000000000005
813,Dimont,-0.04300000000000004
814,ChIPMunk,-0.030000000000000027
815,ProBound,-0.05800000000000005
816,MEME,-0.04200000000000004
817,Autoseed,-0.027000000000000024
818,Homer,-0.051000000000000045
819,STREME,-0.04300000000000004
820,DimontHTS,-0.11599999999999999
821,ExplaiNN,-0.052000000000000046
822,Best,-0.239
823,Dimont,-0.05500000000000005
824,ChIPMunk,-0.04800000000000004
825,ProBound,-0.06499999999999995
826,MEME,-0.03600000000000003
827,Autoseed,-0.025000000000000022
828,Homer,-0.04400000000000004
829,STREME,-0.03700000000000003
830,DimontHTS,-0.14400000000000002
831,ExplaiNN,-0.050000000000000044
832,Best,-0.06399999999999995
833,Dimont,-0.04800000000000004
834,ChIPMunk,-0.04200000000000004
835,ProBound,-0.05900000000000005
836,MEME,-0.030000000000000027
837,Autoseed,-0.02300000000000002
838,Homer,-0.039000000000000035
839,STREME,-0.03300000000000003
840,DimontHTS,-0.119
841,ExplaiNN,-0.04600000000000004
842,Best,-0.19199999999999995
843,Dimont,-0.05400000000000005
844,ChIPMunk,-0.039000000000000035
845,ProBound,-0.04700000000000004
846,MEME,-0.479
847,Autoseed,-0.020000000000000018
848,Homer,-0.20499999999999996
849,STREME,-0.363
850,DimontHTS,-0.10899999999999999
851,ExplaiNN,-0.04400000000000004
852,Best,-0.22999999999999998
853,Dimont,-0.039000000000000035
854,ChIPMunk,-0.03200000000000003
855,ProBound,-0.12
856,MEME,-0.487
