,Experiment,Tool,TFs with top-ranking motifs,Total TFs with motifs
0,GHT-SELEX GFPIVT,Dimont,100,123
1,GHT-SELEX GFPIVT,ChIPMunk,9,123
2,GHT-SELEX GFPIVT,ProBound,3,123
3,GHT-SELEX GFPIVT,MEME,4,123
4,GHT-SELEX GFPIVT,Autoseed,0,0
5,GHT-SELEX GFPIVT,Homer,5,123
6,GHT-SELEX GFPIVT,STREME,2,0
7,GHT-SELEX GFPIVT,DimontHTS,0,0
8,GHT-SELEX GFPIVT,ExplaiNN,0,121
9,GHT-SELEX GFPIVT,RCade,0,33
10,GHT-SELEX GFPIVT,gkmSVM,0,0
11,GHT-SELEX IVT,Dimont,11,32
12,GHT-SELEX IVT,ChIPMunk,11,37
13,GHT-SELEX IVT,ProBound,2,35
14,GHT-SELEX IVT,MEME,8,36
15,GHT-SELEX IVT,Autoseed,0,29
16,GHT-SELEX IVT,Homer,2,37
17,GHT-SELEX IVT,STREME,2,0
18,GHT-SELEX IVT,DimontHTS,0,0
19,GHT-SELEX IVT,ExplaiNN,0,37
20,GHT-SELEX IVT,RCade,1,11
21,GHT-SELEX IVT,gkmSVM,0,0
22,GHT-SELEX Lysate,Dimont,66,91
23,GHT-SELEX Lysate,ChIPMunk,11,93
24,GHT-SELEX Lysate,ProBound,0,92
25,GHT-SELEX Lysate,MEME,4,94
26,GHT-SELEX Lysate,Autoseed,0,16
27,GHT-SELEX Lysate,Homer,4,94
28,GHT-SELEX Lysate,STREME,3,0
29,GHT-SELEX Lysate,DimontHTS,0,0
30,GHT-SELEX Lysate,ExplaiNN,4,91
31,GHT-SELEX Lysate,RCade,2,23
32,GHT-SELEX Lysate,gkmSVM,0,0
33,HT-SELEX GFPIVT,Dimont,19,128
34,HT-SELEX GFPIVT,ChIPMunk,12,129
35,HT-SELEX GFPIVT,ProBound,32,127
36,HT-SELEX GFPIVT,MEME,24,131
37,HT-SELEX GFPIVT,Autoseed,16,125
38,HT-SELEX GFPIVT,Homer,11,131
39,HT-SELEX GFPIVT,STREME,11,0
40,HT-SELEX GFPIVT,DimontHTS,2,131
41,HT-SELEX GFPIVT,ExplaiNN,4,126
42,HT-SELEX GFPIVT,RCade,0,9
43,HT-SELEX GFPIVT,gkmSVM,0,0
44,HT-SELEX IVT,Dimont,26,66
45,HT-SELEX IVT,ChIPMunk,12,63
46,HT-SELEX IVT,ProBound,18,64
47,HT-SELEX IVT,MEME,0,0
48,HT-SELEX IVT,Autoseed,4,53
49,HT-SELEX IVT,Homer,0,0
50,HT-SELEX IVT,STREME,0,0
51,HT-SELEX IVT,DimontHTS,4,61
52,HT-SELEX IVT,ExplaiNN,2,64
53,HT-SELEX IVT,RCade,0,0
54,HT-SELEX IVT,gkmSVM,0,0
55,HT-SELEX Lysate,Dimont,11,81
56,HT-SELEX Lysate,ChIPMunk,13,82
57,HT-SELEX Lysate,ProBound,40,84
58,HT-SELEX Lysate,MEME,8,68
59,HT-SELEX Lysate,Autoseed,2,80
60,HT-SELEX Lysate,Homer,6,68
61,HT-SELEX Lysate,STREME,1,0
62,HT-SELEX Lysate,DimontHTS,4,83
63,HT-SELEX Lysate,ExplaiNN,1,85
64,HT-SELEX Lysate,RCade,0,4
65,HT-SELEX Lysate,gkmSVM,0,0
