,Test data type,Delta IC per position
0,GHT-SELEX GFPIVT,1.0140087164575666
1,GHT-SELEX GFPIVT,0.6481434399975124
2,GHT-SELEX GFPIVT,0.9736017416472003
3,GHT-SELEX GFPIVT,0.7520422913987045
4,GHT-SELEX GFPIVT,0.1969000038259775
5,GHT-SELEX GFPIVT,0.06876245693578664
6,GHT-SELEX GFPIVT,0.2624725414750838
7,GHT-SELEX GFPIVT,1.285210894336263
8,GHT-SELEX GFPIVT,0.928539519936441
9,GHT-SELEX GFPIVT,0.6655874506134214
10,GHT-SELEX GFPIVT,0.5611680515917659
11,GHT-SELEX GFPIVT,0.9335013050707495
12,GHT-SELEX GFPIVT,0.6575149999835896
13,GHT-SELEX GFPIVT,0.7040674230436085
14,GHT-SELEX GFPIVT,0.599577933324797
15,GHT-SELEX GFPIVT,1.517383531882872
16,GHT-SELEX GFPIVT,0.781087183367255
17,GHT-SELEX GFPIVT,0.77584385286774
18,GHT-SELEX GFPIVT,0.7232799770745237
19,GHT-SELEX GFPIVT,1.1454331966475029
20,GHT-SELEX GFPIVT,0.5906443557377956
21,GHT-SELEX GFPIVT,0.9973344543401592
22,GHT-SELEX GFPIVT,1.0594156217648483
23,GHT-SELEX GFPIVT,0.9932126311386295
24,GHT-SELEX GFPIVT,0.773219674359397
25,GHT-SELEX GFPIVT,0.7186174995089538
26,GHT-SELEX GFPIVT,0.5857682916019777
27,GHT-SELEX GFPIVT,0.8457717324709961
28,GHT-SELEX GFPIVT,0.8802903637270576
29,GHT-SELEX GFPIVT,0.33762461363068685
30,GHT-SELEX GFPIVT,1.2092892574544052
31,GHT-SELEX GFPIVT,0.9441081474100562
32,GHT-SELEX GFPIVT,1.051725085017946
33,GHT-SELEX GFPIVT,0.5280607893357327
34,GHT-SELEX GFPIVT,0.6050898155461365
35,GHT-SELEX GFPIVT,0.9529331997361449
36,GHT-SELEX GFPIVT,0.5545940757379226
37,GHT-SELEX GFPIVT,0.7761042235102739
38,GHT-SELEX GFPIVT,0.2972985630942774
39,GHT-SELEX GFPIVT,1.0489019132318673
40,GHT-SELEX GFPIVT,0.7385621554168919
41,GHT-SELEX GFPIVT,1.4507063415141834
42,GHT-SELEX GFPIVT,1.0873389119696768
43,GHT-SELEX GFPIVT,1.2878709199706897
44,GHT-SELEX GFPIVT,0.9887300386290624
45,GHT-SELEX GFPIVT,0.8216324337532558
46,GHT-SELEX GFPIVT,0.6226632427072388
47,GHT-SELEX GFPIVT,0.5102675592316741
48,GHT-SELEX GFPIVT,0.9054919123761422
49,GHT-SELEX GFPIVT,0.2675552499829076
50,GHT-SELEX GFPIVT,0.7224969319534599
51,GHT-SELEX GFPIVT,0.6426612463401022
52,GHT-SELEX GFPIVT,0.605807890427744
53,GHT-SELEX GFPIVT,0.7921644560760389
54,GHT-SELEX GFPIVT,0.9908823287477202
55,GHT-SELEX GFPIVT,1.3087527596301562
56,GHT-SELEX GFPIVT,1.403301151395379
57,GHT-SELEX GFPIVT,1.2902307120408212
58,GHT-SELEX GFPIVT,0.6804402954675135
59,GHT-SELEX GFPIVT,0.9004072547132551
